Symbol,Description,Quantity,Price,Price Change $,Price Change %,Market Value,Day Change $,Day Change %,Cost Basis,Gain/Loss $,Gain/Loss %,Reinvest Dividends?,Capital Gains?,% Of Account,Dividend Yield,Last Dividend,Ex-Dividend Date,P/E Ratio,52 Week Low,52 Week High,Volume,Intrinsic Value,In The Money,Security Type
PLTR,PALANTIR TECHNOLOGIES IN CLASS A,60,$28.69,$0.65,+2.32%,"$1,721.40",$39.00,+2.32%,"$1,342.77",$378.63,+28.2%,No,--,2.67%,N/A,N/A,N/A,-40.64,$8.90,$33.50,58772227,--,--,Equity
PLUG,PLUG POWER INC,50,$36.14,$0.45,+1.26%,"$1,807.00",$22.50,+1.26%,"$1,369.16",$437.84,+31.98%,No,--,2.8%,N/A,N/A,N/A,-108.15,$2.53,$37.11,40179852,--,--,Equity
QS,QUANTUMSCAPE CORP CLASS A,40,$110.79,-$20.88,-15.86%,"$4,431.60",-$835.20,-15.86%,N/A,N/A,N/A,No,--,6.87%,N/A,N/A,N/A,-3.53,$9.74,$132.73,27608611,--,--,Equity
QS,QUANTUMSCAPE CORP CLASS A,59,$110.79,-$20.88,-15.86%,"$6,536.61","-$1,231.92",-15.86%,N/A,N/A,N/A,No,--,10.14%,N/A,N/A,N/A,-3.53,$9.74,$132.73,27608611,--,--,Equity
SAIL,SAILPOINT TECHNOLOGIES,34,$56.58,-$2.27,-3.86%,"$1,923.72",-$77.18,-3.86%,"$1,769.70",$154.02,+8.7%,No,--,2.98%,N/A,N/A,N/A,-5885,$11.61,$59.62,1422632,--,--,Equity
SNOW,SNOWFLAKE INC CLASS A,10,$331.65,-$9.51,-2.79%,"$3,316.50",-$95.10,-2.79%,"$3,169.29",$147.21,+4.64%,No,--,5.14%,N/A,N/A,N/A,-66.76,$208.55,$429.00,2745838,--,--,Equity
SQ,SQUARE INC CLASS A,10,$230.68,-$10.90,-4.51%,"$2,306.80",-$109.00,-4.51%,"$2,129.55",$177.25,+8.32%,No,--,3.58%,N/A,N/A,N/A,366.03,$32.33,$243.38,13482696,--,--,Equity
TSLA,TESLA INC,10,$645.98,$5.64,+0.88%,"$6,459.80",$56.40,+0.88%,"$4,579.83","$1,879.97",+41.05%,No,--,10.02%,N/A,N/A,N/A,1231.42,$70.10,$695.00,33172972,--,--,Equity
VLDR,VELODYNE LIDAR INC,75,$26.50,-$0.88,-3.21%,"$1,987.50",-$66.00,-3.21%,"$1,908.75",$78.75,+4.13%,No,--,3.08%,N/A,N/A,N/A,-15.92,$9.87,$32.50,10637152,--,--,Equity
ARKQ,ARK AUTONOMOUS TECH RBTCS ETF,20,$77.30,$0.75,+0.98%,"$1,546.00",$15.00,+0.98%,"$1,464.61",$81.39,+5.56%,No,--,2.4%,N/A,$0.55,N/A,--,$26.19,$78.40,1289589,--,--,ETFs & Closed End Funds
ARKG,ARK GENOMIC REVOLUTION ETF,15,$105.21,-$0.32,-0.3%,"$1,578.15",-$4.80,-0.3%,"$1,057.20",$520.95,+49.28%,No,--,2.45%,+1%,$0.20,N/A,--,$24.00,$108.14,7118314,--,--,ETFs & Closed End Funds
ARKK,ARK INNOVATION ETF,10,$134.96,-$0.09,-0.07%,"$1,349.60",-$0.90,-0.07%,$991.18,$358.42,+36.16%,No,--,2.09%,+0.1%,$1.09,N/A,--,$33.00,$137.08,7202886,--,--,ETFs & Closed End Funds
ARKW,ARK NEXT GENERATION INTERNET ETF,10,$152.59,-$1.35,-0.88%,"$1,525.90",-$13.50,-0.88%,"$1,240.88",$285.02,+22.97%,No,--,2.37%,N/A,$4.94,N/A,--,$40.50,$155.00,1275491,--,--,ETFs & Closed End Funds
GBTC,GRAYSCALE BITCOIN TR BTC,50,$28.88,-$1.51,-4.97%,"$1,444.00",-$75.50,-4.97%,$995.75,$448.25,+45.02%,No,--,2.24%,N/A,$5.14,N/A,--,$5.01,$32.00,11054652,--,--,ETFs & Closed End Funds
GRWG 04/16/2021 35.00 C,CALL GROWGENERATION CORP $35 EXP 04/16/21,1,$11.40,-$0.80,-6.56%,"$1,140.00",-$80.00,-6.56%,$970.65,$169.35,+17.45%,--,--,1.77%,--,--,--,--,$0.50,$12.20,212,6.23,ITM,Option
INSG 03/19/2021 15.00 C,CALL INSEEGO CORP $15 EXP 03/19/21,1,$4.00,-$0.55,-12.09%,$400.00,-$55.00,-12.09%,$430.65,-$30.65,-7.12%,--,--,0.62%,--,--,--,--,$0.25,$4.70,239,1.76,ITM,Option
Cash & Cash Investments,--,--,--,--,--,"$1,680.84",$0.00,0%,--,--,--,--,--,2.61%,--,--,--,--,--,--,--,--,--,Cash and Money Market
Account Total,--,--,--,--,--,"$64,482.31","-$2,083.93",-3.13%,"$50,006.76","$12,794.71",+25.59%,--,--,--,--,--,--,--,--,--,--,,,
