Symbol,Description,Quantity,Price,Price Change $,Price Change %,Market Value,Day Change $,Day Change %,Cost Basis,Gain/Loss $,Gain/Loss %,Reinvest Dividends?,Capital Gains?,% Of Account,Dividend Yield,Last Dividend,Ex-Dividend Date,P/E Ratio,52 Week Low,52 Week High,Volume,Intrinsic Value,In The Money,Security Type
AAPL,APPLE INC,25,$130.96,-$0.92,-0.7%,"$3,274.00",-$23.00,-0.7%,"$2,629.79",$644.21,+24.5%,No,--,5.08%,+0.6%,$0.21,11/6/2020,40.21,$53.15,$137.98,88223692,--,--,Equity
BLDP,BALLARD POWER SYS      F,90,$23.48,$0.78,+3.41%,"$2,113.20",$69.75,+3.41%,"$1,751.10",$362.10,+20.68%,No,--,3.28%,N/A,N/A,N/A,-113.53,$6.71,$23.62,7070788,--,--,Equity
BLNK,BLINK CHARGING CO,25,$43.77,-$4.72,-9.73%,"$1,094.25",-$118.00,-9.73%,"$1,151.81",-$57.56,-5%,No,--,1.7%,N/A,N/A,N/A,-107.76,$1.25,$48.70,13577333,--,--,Equity
NET,CLOUDFLARE INC CLASS A,0,$81.90,-$4.66,-5.38%,$0.00,$0.00,0%,N/A,N/A,N/A,No,--,0%,N/A,N/A,N/A,-227.79,$15.05,$88.77,4847540,--,--,Equity
CRSP,CRISPR THERAPEUTICS    F,10,$173.23,$3.15,+1.85%,"$1,732.30",$31.50,+1.85%,"$1,373.73",$358.57,+26.1%,No,--,2.69%,N/A,N/A,N/A,-50.17,$32.30,$178.09,2483669,--,--,Equity
CURLF,CURALEAF HOLDINGS INC  F,100,$12.3568,-$0.02,-0.19%,"$1,235.68",-$2.32,-0.19%,$790.00,$445.68,+56.42%,No,--,1.92%,N/A,N/A,N/A,-123.8,$2.54,$13.09,568099,--,--,Equity
FUBO,FUBOTV INC,25,$52.59,-$9.41,-15.18%,"$1,314.75",-$235.25,-15.18%,"$1,407.50",-$92.75,-6.59%,No,--,2.04%,N/A,N/A,N/A,-5.09,$5.00,$62.29,19994458,--,--,Equity
FCEL,FUELCELL ENERGY INC,200,$13.42,$2.68,+24.9%,"$2,684.00",$535.00,+24.9%,"$1,633.36","$1,050.64",+64.32%,No,--,4.16%,N/A,N/A,N/A,-19.19,$0.81,$13.91,173722205,--,--,Equity
GTBIF,GREEN THUMB INDS INC   F,55,$23.7275,$0.29,+1.23%,"$1,305.01",$15.81,+1.23%,$819.11,$485.90,+59.32%,No,--,2.02%,N/A,N/A,N/A,-213.09,$3.51,$23.88,364244,--,--,Equity
NTLA,INTELLIA THERAPEUTICS IN,34,$63.35,-$0.18,-0.28%,"$2,153.90",-$6.12,-0.28%,"$1,337.78",$816.12,+61.01%,No,--,3.34%,N/A,N/A,N/A,-27.99,$9.18,$68.84,1368014,--,--,Equity
JMIA,JUMIA TECHNOLOGIES A G F UNSPONSORED ADR 1 ADR REPS 2 ORD SHS,50,$46.44,-$1.23,-2.58%,"$2,322.00",-$61.50,-2.58%,"$1,886.91",$435.09,+23.06%,No,--,3.6%,N/A,N/A,N/A,-18.13,$2.15,$49.00,12768914,--,--,Equity
LMND,LEMONADE INC,20,$134.45,$15.37,+12.91%,"$2,689.00",$307.40,+12.91%,"$1,582.60","$1,106.40",+69.91%,No,--,4.17%,N/A,N/A,N/A,-21.89,$44.11,$137.30,5511790,--,--,Equity
LAZR,LUMINAR TECHNOLOGIES INC CLASS A,40,$35.22,-$2.15,-5.75%,"$1,408.80",-$86.00,-5.75%,"$1,512.00",-$103.20,-6.83%,No,--,2.18%,N/A,N/A,N/A,-3.78,$9.45,$47.80,13839730,--,--,Equity
