Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume
CCHWF,5.175,2020/12/23,15:59 EST,0.44500017,4.78,5.19,4.7349,622280
CWBHF,4.1,2020/12/23,15:59 EST,0.21999979,3.75,4.205,3.75,545589
BLCM,3.73,2020/12/23,16:00 EST,0.13000011,3.67,3.74,3.46,1134596
EGHT,34.56,2020/12/23,16:00 EST,1.0200005,33.74,34.69,32.69,1716225
BE,30.59,2020/12/23,16:00 EST,0.27000046,31.05,31.06,29.13,5267719
NNDM,8.77,2020/12/23,16:00 EST,-0.30999947,9.55,10.49,8.65,52014060
INSG,16.76,2020/12/23,16:00 EST,-0.9899998,17.21,17.34,16.05,6602371
APPS,56.86,2020/12/23,16:00 EST,-2.8499985,59.7,60.35,56.65,3044905
IIPR,188.75,2020/12/23,16:00 EST,-8.889999,196,199.35,186.0704,680849
NVCR,170.72,2020/12/23,16:00 EST,-0.27999878,170.04,175.75,166.05,554920
