Symbol,Description,Quantity,Price,Price Change $,Price Change %,Market Value,Day Change $,Day Change %,Cost Basis,Gain/Loss $,Gain/Loss %,Reinvest Dividends?,Capital Gains?,% Of Account,Dividend Yield,Last Dividend,Ex-Dividend Date,P/E Ratio,52 Week Low,52 Week High,Volume,Intrinsic Value,In The Money,Security Type
BYDDY,BYD CO LTD F SPONSORED ADR 1 ADR REPS 2 ORD SHS,30,$50.86,$0.99,+1.99%,"$1,525.80",$29.70,+1.99%,$678.32,$847.48,+124.94%,No,--,9.57%,N/A,$0.02,6/25/2020,311.69,$8.43,$53.46,258042,--,--,Equity
CLLS,CELLECTIS S A F SPONSORED ADR 1 ADR REPS 1 ORD SHS,50,$31.64,$1.60,+5.33%,"$1,582.00",$80.00,+5.33%,$874.50,$707.50,+80.9%,No,--,9.92%,N/A,N/A,N/A,-16.06,$7.32,$32.80,850850,--,--,Equity
CRWD,CROWDSTRIKE HLDGS INC,7,$223.50,-$1.40,-0.62%,"$1,564.50",-$9.80,-0.62%,"$1,152.83",$411.67,+35.71%,No,--,9.81%,N/A,N/A,N/A,-468.54,$31.95,$227.26,5039762,--,--,Equity
FVRR,FIVERR INTERNTNL LTD   F,10,$216.28,-$7.10,-3.18%,"$2,162.80",-$71.00,-3.18%,"$1,122.46","$1,040.34",+92.68%,No,--,13.56%,N/A,N/A,N/A,-507.68,$20.42,$228.49,770231,--,--,Equity
NNDM,NANO DIMENSION LTD F SPONSORED ADR 1 ADR REPS 1 ORD SHS,134,$8.77,-$0.31,-3.41%,"$1,175.18",-$41.54,-3.41%,"$1,394.00",-$218.82,-15.7%,No,--,7.37%,N/A,N/A,N/A,-6.14,$0.51,$10.49,52014060,--,--,Equity
OROCF,OROCOBRE LTD ORD F AUSTRALIAN SHARES,375,$3.1927,$0.05,+1.57%,"$1,197.26",$18.56,+1.57%,"$1,026.60",$170.66,+16.62%,No,--,7.51%,N/A,N/A,N/A,-20.4,$0.78,$3.45,80237,--,--,Equity
DOGEF,ORSTED A/S          ORDF,6,$195.00,$4.21,+2.21%,"$1,170.00",$25.28,+2.21%,$850.68,$319.32,+37.54%,No,--,7.34%,N/A,N/A,N/A,N/A,$80.85,$194.90,1241,--,--,Equity
RIOT,RIOT BLOCKCHAIN I N C,150,$13.91,-$0.74,-5.02%,"$2,086.50",-$110.25,-5.02%,"$1,137.69",$948.81,+83.4%,No,--,13.08%,N/A,$1.00,10/12/2017,-24.41,$0.51,$15.70,32496227,--,--,Equity
SAGE,SAGE THERAPEUTICS,25,$88.68,$0.87,+0.99%,"$2,217.00",$21.75,+0.99%,"$1,846.24",$370.76,+20.08%,No,--,13.9%,N/A,N/A,N/A,-8.48,$25.01,$89.18,619425,--,--,Equity
EGHT 02/19/2021 30.00 C,CALL 8X8 INC $30 EXP 02/19/21,1,$6.10,$0.60,+10.91%,$610.00,$60.00,+10.91%,$530.65,$79.35,+14.95%,--,--,3.82%,--,--,--,--,$0.10,$5.19,29,4.56,ITM,Option
INSG 01/15/2021 17.50 C,CALL INSEEGO CORP $17.5 EXP 01/15/21,1,$1.40,-$0.58,-29.11%,$140.00,-$57.50,-29.11%,$90.65,$49.35,+54.44%,--,--,0.88%,--,--,--,--,$0.05,$3.30,2418,-0.74,OTM,Option
Cash & Cash Investments,--,--,--,--,--,$516.84,$0.00,0%,--,--,--,--,--,3.24%,--,--,--,--,--,--,--,--,--,Cash and Money Market
Account Total,--,--,--,--,--,"$15,947.88",-$54.80,-0.34%,"$10,704.62","$4,726.42",+44.15%,--,--,--,--,--,--,--,--,--,--,,,
