Symbol,Name,Closed Date,Opened Date,Quantity,Proceeds Per Share,Cost Per Share,Proceeds,Cost Basis,Gain/Loss ($),Gain/Loss (%),Long Term Gain/Loss,Short Term Gain/Loss,Term,Unadjusted Cost Basis,Wash Sale?,Disallowed Loss,Transaction Closed Date,Transaction Cost Basis,Total Transaction Gain/Loss ($),Total Transaction Gain/Loss (%),LT Transaction Gain/Loss ($),LT Transaction Gain/Loss (%),ST Transaction Gain/Loss ($),ST Transaction Gain/Loss (%)
QS,QUANTUMSCAPE CORP CLASS A,12/23/2020,11/30/2020,1,$118.17,$48.99,$118.17,$48.99,$69.18,141.21%,,$69.18,Short,$48.99,No,,,,,,,,,
NET,CLOUDFLARE INC CLASS A,12/23/2020,11/27/2020,20,$82.21,$73.59,$1644.24,$1471.70,$172.54,11.72%,,$172.54,Short,$1471.70,No,,,,,,,,,
CCHWF,COLUMBIA CARE INC F,12/22/2020,11/27/2020,50,$4.64,$4.16,$231.84,$207.98,$23.86,11.47%,,$23.86,Short,$207.98,No,,,$1039.76,$119.46,11.49%,,,,11.49%
CWBHF,CHARLOTTES WEB HLDGS I F,12/22/2020,10/08/2020,375,$3.97,$2.78,$1486.88,$1041.38,$445.50,42.78%,,$445.50,Short,$1041.38,No,,,,,,,,,
TSLA,TESLA INC,12/22/2020,08/20/2020,3,$633.39,$474.99,$1900.18,$1424.97,$475.21,33.35%,,$475.21,Short,$1424.97,No,,,$1373.95,$526.23,38.30%,,,,38.30%
INVA,INNOVIVA INC,12/22/2020,12/14/2020,134,$11.90,$11.31,$1594.57,$1515.54,$79.03,5.21%,,$79.03,Short,$1515.54,No,,,,,,,,,
ARKF,ARK FINTECH INNOVATION ETF,12/22/2020,12/17/2020,30,$51.23,$50.32,$1536.87,$1509.68,$27.19,1.80%,,$27.19,Short,$1509.68,No,,,,,,,,,
SE,SEA LTD F UNSPONSORED ADR 1 ADR REPS 1 ORD SHS,12/22/2020,12/16/2020,10,$199.46,$195.37,$1994.56,$1953.69,$40.87,2.09%,,$40.87,Short,$1953.69,No,,,,,,,,,
CCHWF,COLUMBIA CARE INC F,12/22/2020,11/27/2020,200,$4.64,$4.16,$927.38,$831.78,$95.60,11.49%,,$95.60,Short,$831.78,No,,,$1039.76,$119.46,11.49%,,,,11.49%
INSG,INSEEGO CORP,12/21/2020,12/14/2020,113,$14.24,$15.12,$1609.33,$1708.56,-$99.23,-5.81%,,-$99.23,Short,$1708.56,No,,,,,,,,,
NVAX,NOVAVAX INC,12/21/2020,12/17/2020,2,$124.51,$131.30,$249.01,$262.60,-$13.59,-5.18%,,-$13.59,Short,$262.60,No,,,$1969.50,-$101.89,-5.17%,,,,-5.17%
MRVL,MARVELL TECH GROUP F,12/21/2020,12/17/2020,34,$47.10,$46.75,$1601.36,$1589.50,$11.86,0.75%,,$11.86,Short,$1589.50,No,,,,,,,,,
NVAX,NOVAVAX INC,12/21/2020,12/11/2020,1,$124.51,$132.61,$124.51,$132.61,-$8.10,-6.11%,,-$8.10,Short,$132.61,No,,,$1969.50,-$101.89,-5.17%,,,,-5.17%
NVAX,NOVAVAX INC,12/21/2020,12/11/2020,12,$124.51,$132.61,$1494.09,$1591.33,-$97.24,-6.11%,,-$97.24,Short,$1591.33,No,,,$1969.50,-$101.89,-5.17%,,,,-5.17%
CURO 04/16/2021 10.00 C,CALL CURO GROUP HOLDINGS $10 EXP 04/16/21,12/21/2020,12/18/2020,1,$5.39,$7.36,$539.34,$735.65,-$196.31,-26.69%,,-$196.31,Short,$735.65,No,,,,,,,,,
BTGN,BITCOIN GENERATION INC,12/18/2020,10/23/2020,195,$0.60,$0.72,$117.00,$140.40,-$23.40,-16.67%,,-$23.40,Short,$140.40,No,,,,,,,,,
BTGN,BITCOIN GENERATION INC,12/18/2020,10/23/2020,1000,$0.60,$0.72,$599.99,$720.00,-$120.01,-16.67%,,-$120.01,Short,$720.00,No,,,,,,,,,
BTGN,BITCOIN GENERATION INC,12/18/2020,10/22/2020,200,$0.60,$1.15,$120.00,$230.00,-$110.00,-47.83%,,-$110.00,Short,$230.00,No,,,$1587.85,-$609.87,-38.41%,,,,-38.41%
BTGN,BITCOIN GENERATION INC,12/18/2020,10/23/2020,405,$0.60,$0.72,$242.99,$291.60,-$48.61,-16.67%,,-$48.61,Short,$291.60,No,,,$1587.85,-$609.87,-38.41%,,,,-38.41%
BTGN,BITCOIN GENERATION INC,12/18/2020,10/22/2020,275,$0.60,$1.15,$165.00,$316.25,-$151.25,-47.83%,,-$151.25,Short,$316.25,No,,,$1587.85,-$609.87,-38.41%,,,,-38.41%
BTGN,BITCOIN GENERATION INC,12/18/2020,10/22/2020,750,$0.60,$1.00,$449.99,$750.00,-$300.01,-40.00%,,-$300.01,Short,$750.00,No,,,$1587.85,-$609.87,-38.41%,,,,-38.41%
GRWG,GROWGENERATION CORP,12/17/2020,12/05/2020,30,$37.36,$39.29,$1120.78,$1178.67,-$57.89,-4.91%,,-$57.89,Short,$1178.67,No,,,$1810.25,$57.71,3.19%,,,,3.19%
GRWG,GROWGENERATION CORP,12/17/2020,12/16/2020,20,$37.36,$36.20,$747.18,$724.10,$23.08,3.19%,,$23.08,Short,$724.10,No,,,$1810.25,$57.71,3.19%,,,,3.19%
EGHT,8X8 INC,12/17/2020,12/11/2020,50,$31.16,$30.89,$1558.17,$1544.50,$13.67,0.89%,,$13.67,Short,$1544.50,No,,,,,,,,,
CRNT,CERAGON NETWORKS LTD F,12/17/2020,11/30/2020,300,$2.61,$2.69,$782.98,$808.50,-$25.52,-3.16%,,-$25.52,Short,$808.50,No,,,,,,,,,
CRNT,CERAGON NETWORKS LTD F,12/17/2020,11/30/2020,100,$2.61,$2.69,$261.32,$269.50,-$8.18,-3.04%,,-$8.18,Short,$269.50,No,,,,,,,,,
CRNT,CERAGON NETWORKS LTD F,12/17/2020,11/30/2020,100,$2.61,$2.69,$260.99,$269.50,-$8.51,-3.16%,,-$8.51,Short,$269.50,No,,,,,,,,,
TSLA,TESLA INC,12/16/2020,08/20/2020,12,$622.16,$474.99,$7465.89,$5699.87,$1766.02,30.98%,,$1766.02,Short,$5699.87,No,,,$5495.80,$1970.09,35.85%,,,,35.85%
BA 01/15/2021 235.00 C,CALL BOEING CO $235 EXP 01/15/21,12/15/2020,11/23/2020,1,$9.74,$6.86,$974.33,$685.65,$288.68,42.10%,,$288.68,Short,$685.65,No,,,,,,,,,
BTGN,BITCOIN GENERATION INC,12/15/2020,10/22/2020,175,$0.50,$1.15,$87.50,$201.25,-$113.75,-56.52%,,-$113.75,Short,$201.25,No,,,,,,,,,
APPN,APPIAN CORP 00500 CLASS A,12/15/2020,11/25/2020,10,$141.66,$142.97,$1416.58,$1429.70,-$13.12,-0.92%,,-$13.12,Short,$1429.70,No,,,,,,,,,
SYAAF,SYRAH RESOURCES LI ORDF,12/14/2020,11/16/2020,200,$0.62,$0.57,$123.06,$113.27,$9.79,8.64%,,$9.79,Short,$113.27,No,,,$102.94,$20.12,19.55%,,,,19.55%
SYAAF,SYRAH RESOURCES LI ORDF,12/14/2020,11/16/2020,1700,$0.62,$0.57,$1054.50,$962.83,$91.67,9.52%,,$91.67,Short,$962.83,No,,,$875.00,$179.50,20.51%,,,,20.51%
BLNK,BLINK CHARGING CO,12/14/2020,11/27/2020,30,$26.50,$28.32,$794.98,$849.66,-$45.57,-5.36%,,-$45.57,Short,$849.66,Yes,$9.11,,,,,,,,
SYAAF,SYRAH RESOURCES LI ORDF,12/14/2020,11/16/2020,1500,$0.62,$0.57,$930.44,$849.55,$80.89,9.52%,,$80.89,Short,$849.55,No,,,$772.06,$158.38,20.51%,,,,20.51%
GRWG,GROWGENERATION CORP,12/14/2020,12/03/2020,30,$33.10,$36.18,$992.98,$1085.50,$0.00,0.00%,,$0.00,Short,$1085.50,Yes,$92.52,,,,,,,,
BLNK,BLINK CHARGING CO,12/14/2020,11/27/2020,20,$26.50,$28.32,$529.99,$566.44,$0.00,0.00%,,$0.00,Short,$566.44,Yes,$36.45,,,,,,,,
GWPH,GW PHARMACEUTIC PLC F SPONSORED ADR 1 ADR REPS 12 ORD SHS,12/14/2020,11/27/2020,10,$120.35,$130.10,$1203.52,$1301.00,-$97.48,-7.49%,,-$97.48,Short,$1301.00,No,,,,,,,,,
NVAX,NOVAVAX INC,12/03/2020,11/27/2020,13,$127.89,$129.20,$1662.56,$1679.60,$0.00,0.00%,,$0.00,Short,$1679.60,Yes,$17.04,,,,,,,,
NIO,N I O INC F SPONSORED ADR 1 ADR REPS ORD SHS,12/03/2020,11/19/2020,14,$46.98,$48.17,$657.74,$674.38,-$16.64,-2.47%,,-$16.64,Short,$674.38,No,,,,,,,,,
BLCM,BELLICUM PHARMACEUTICALS,12/03/2020,11/30/2020,340,$3.03,$3.68,$1029.40,$1251.20,-$221.80,-17.73%,,-$221.80,Short,$1251.20,No,,,,,,,,,
BE,BLOOM ENERGY CORP,12/02/2020,11/19/2020,50,$22.59,$19.38,$1129.48,$969.00,$160.48,16.56%,,$160.48,Short,$969.00,No,,,,,,,,,
BTGN,BITCOIN GENERATION INC,11/30/2020,10/22/2020,411,$0.60,$1.15,$246.60,$472.65,-$226.05,-47.83%,,-$226.05,Short,$472.65,No,,,$943.85,-$343.86,-36.43%,,,,-36.43%
BTGN,BITCOIN GENERATION INC,11/30/2020,10/22/2020,139,$0.64,$1.15,$88.96,$159.85,-$70.89,-44.35%,,-$70.89,Short,$159.85,No,,,,,,,,,
BTGN,BITCOIN GENERATION INC,11/30/2020,10/22/2020,589,$0.60,$0.80,$353.39,$471.20,-$117.81,-25.00%,,-$117.81,Short,$471.20,No,,,$943.85,-$343.86,-36.43%,,,,-36.43%
