Symbol,Name,Closed Date,Opened Date,Quantity,Proceeds Per Share,Cost Per Share,Proceeds,Cost Basis,Gain/Loss ($),Gain/Loss (%),Long Term Gain/Loss,Short Term Gain/Loss,Term,Unadjusted Cost Basis,Wash Sale?,Disallowed Loss,Transaction Closed Date,Transaction Cost Basis,Total Transaction Gain/Loss ($),Total Transaction Gain/Loss (%),LT Transaction Gain/Loss ($),LT Transaction Gain/Loss (%),ST Transaction Gain/Loss ($),ST Transaction Gain/Loss (%)
BTGN,BITCOIN GENERATION INC,11/30/2020,10/22/2020,800,$0.60,$1.15,$479.99,$920.00,-$440.01,-47.83%,,-$440.01,Short,$920.00,No,,,,,,,,,
BTGN,BITCOIN GENERATION INC,11/30/2020,10/22/2020,35,$0.60,$0.80,$21.00,$28.00,-$7.00,-25.00%,,-$7.00,Short,$28.00,No,,,,,,,,,
BTGN,BITCOIN GENERATION INC,11/30/2020,10/22/2020,25,$0.60,$0.80,$15.00,$20.00,-$5.00,-25.00%,,-$5.00,Short,$20.00,No,,,,,,,,,
JMIA 01/15/2021 20.00 C,CALL JUMIA TECHNOLOGIES $20 EXP 01/15/21,11/27/2020,11/19/2020,1,$16.99,$6.31,$1699.31,$630.65,$1068.66,169.45%,,$1068.66,Short,$630.65,No,,,,,,,,,
SAGE 12/18/2020 55.00 C,CALL SAGE THERAPEUTICS $55 EXP 12/18/20,11/27/2020,08/31/2020,1,$19.19,$7.45,$1919.31,$744.65,$1174.66,157.75%,,$1174.66,Short,$744.65,No,,,,,,,,,
SEDG 12/18/2020 260.00 C,CALL SOLAREDGE TECH $260 EXP 12/18/20,11/27/2020,11/20/2020,1,$37.99,$16.81,$3799.27,$1680.65,$2118.62,126.06%,,$2118.62,Short,$1680.65,No,,,,,,,,,
TSLA 12/18/2020 550.00 C,CALL TESLA INC $550 EXP 12/18/20,11/27/2020,08/31/2020,1,$69.09,$65.61,$6909.20,$6560.65,$348.55,5.31%,,$348.55,Short,$6560.65,No,,,,,,,,,
BTGN,BITCOIN GENERATION INC,11/27/2020,10/22/2020,1,$0.60,$0.80,$0.60,$0.80,-$0.20,-25.00%,,-$0.20,Short,$0.80,No,,,,,,,,,
ACB 12/04/2020 9.00 P,PUT AURORA CANNABIS INC $9 EXP 12/04/20,11/25/2020,11/24/2020,1,$0.98,$1.06,$98.35,$105.65,-$7.30,-6.91%,,-$7.30,Short,$105.65,No,,,,,,,,,
AAPL,APPLE INC,11/25/2020,08/20/2020,25,$116.00,$105.19,$2899.97,$2629.79,$270.18,10.27%,,$270.18,Short,$2629.79,No,,,,,,,,,
GTBIF,GREEN THUMB INDS INC F,11/24/2020,10/08/2020,45,$19.40,$14.89,$872.98,$670.18,$202.80,30.26%,,$202.80,Short,$670.18,No,,,,,,,,,
CURLF,CURALEAF HOLDINGS INC F,11/24/2020,10/08/2020,50,$10.32,$7.90,$515.99,$395.00,$120.99,30.63%,,$120.99,Short,$395.00,No,,,,,,,,,
SE 12/18/2020 175.00 C,CALL SEA LTD $175 EXP 12/18/20,11/24/2020,10/27/2020,1,$9.49,$13.61,$949.33,$1360.65,-$411.32,-30.23%,,-$411.32,Short,$1360.65,No,,,,,,,,,
PLUG,PLUG POWER INC,11/24/2020,11/23/2020,20,$26.83,$25.23,$536.59,$504.58,$32.01,6.34%,,$32.01,Short,$504.58,No,,,,,,,,,
NIO,N I O INC F SPONSORED ADR 1 ADR REPS ORD SHS,11/24/2020,11/19/2020,7,$53.65,$48.17,$375.54,$337.19,$38.35,11.37%,,$38.35,Short,$337.19,No,,,,,,,,,
BE,BLOOM ENERGY CORP,11/24/2020,11/19/2020,1,$24.79,$19.38,$24.79,$19.38,$5.41,27.92%,,$5.41,Short,$19.38,No,,,$774.45,$464.95,60.04%,,,,60.04%
BE,BLOOM ENERGY CORP,11/24/2020,11/19/2020,9,$24.79,$19.38,$223.09,$174.42,$48.67,27.90%,,$48.67,Short,$174.42,No,,,$774.45,$464.95,60.04%,,,,60.04%
PLTR,PALANTIR TECHNOLOGIES IN CLASS A,11/24/2020,11/19/2020,20,$22.96,$18.72,$459.19,$374.40,$84.79,22.65%,,$84.79,Short,$374.40,No,,,,,,,,,
AAPL,APPLE INC,11/24/2020,08/20/2020,50,$113.75,$105.19,$5687.37,$5259.59,$427.78,8.13%,,$427.78,Short,$5259.59,No,,,,,,,,,
BE,BLOOM ENERGY CORP,11/24/2020,11/03/2020,40,$24.79,$14.52,$991.52,$580.65,$410.87,70.76%,,$410.87,Short,$580.65,No,,,$774.45,$464.95,60.04%,,,,60.04%
BDSI 03/19/2021 3.00 C,CALL BIODELIVERY SCI INT $3 EXP 03/19/21,11/23/2020,09/01/2020,3,$1.13,$1.91,$340.00,$571.99,-$231.99,-40.56%,,-$231.99,Short,$571.99,No,,,,,,,,,
SAIL 12/18/2020 45.00 C,CALL SAILPOINT TECHNOLOG $45 EXP 12/18/20,11/23/2020,09/02/2020,1,$1.39,$3.01,$139.35,$300.65,-$161.30,-53.65%,,-$161.30,Short,$300.65,No,,,,,,,,,
NVDA 12/18/2020 590.00 C,CALL NVIDIA CORP $590 EXP 12/18/20,11/23/2020,10/19/2020,1,$4.49,$28.01,$449.34,$2800.65,-$2351.31,-83.96%,,-$2351.31,Short,$2800.65,No,,,,,,,,,
BZUN 01/15/2021 45.00 C,CALL BAOZUN INC $45 EXP 01/15/21,11/23/2020,09/02/2020,1,$1.19,$5.91,$119.35,$590.65,-$471.30,-79.79%,,-$471.30,Short,$590.65,No,,,,,,,,,
FSLY 12/18/2020 125.00 C,CALL FASTLY INC $125 EXP 12/18/20,11/20/2020,10/07/2020,1,$0.56,$16.01,$56.35,$1600.65,-$1544.30,-96.48%,,-$1544.30,Short,$1600.65,No,,,,,,,,,
CUE 01/15/2021 17.50 C,CALL CUE BIOPHARMA INC $17.5 EXP 01/15/21,11/20/2020,09/01/2020,2,$0.04,$4.01,$8.67,$801.34,-$792.67,-98.92%,,-$792.67,Short,$801.34,No,,,,,,,,,
AAPL,APPLE INC,11/20/2020,08/20/2020,25,$118.72,$105.19,$2967.95,$2629.79,$338.16,12.86%,,$338.16,Short,$2629.79,No,,,,,,,,,
PFPT 02/19/2021 135.00 C,CALL PROOFPOINT INC $135 EXP 02/19/21,11/20/2020,09/02/2020,1,$0.21,$7.10,$21.35,$709.65,-$688.30,-96.99%,,-$688.30,Short,$709.65,No,,,,,,,,,
INVA,INNOVIVA INC,11/19/2020,10/29/2020,100,$11.02,$9.88,$1102.48,$988.47,$114.01,11.53%,,$114.01,Short,$988.47,No,,,,,,,,,
OVID 01/15/2021 7.50 C,CALL OVID THERAPEUTICS I $7.5 EXP 01/15/21,11/19/2020,09/02/2020,1,$1.54,$1.66,$154.35,$165.65,-$11.30,-6.82%,,-$11.30,Short,$165.65,No,,,,,,,,,
CRNT 12/18/2020 2.50 C,CALL CERAGON NETWORKS LT $2.5 EXP 12/18/20,11/19/2020,09/02/2020,10,$0.11,$0.21,$113.37,$206.67,-$93.30,-45.14%,,-$93.30,Short,$206.67,No,,,,,,,,,
NTLA 01/15/2021 25.00 C,CALL INTELLIA THERAPEUTI $25 EXP 01/15/21,11/19/2020,09/23/2020,1,$5.59,$3.41,$559.34,$340.65,$218.69,64.20%,,$218.69,Short,$340.65,No,,,,,,,,,
MU 01/15/2021 45.00 C,CALL MICRON TECHNOLOGY $45 EXP 01/15/21,11/19/2020,09/01/2020,1,$15.99,$5.70,$1599.31,$569.65,$1029.66,180.75%,,$1029.66,Short,$569.65,No,,,,,,,,,
ANTM 12/18/2020 320.00 C,CALL ANTHEM INC $320 EXP 12/18/20,11/19/2020,09/02/2020,1,$8.59,$6.81,$859.33,$680.65,$178.68,26.25%,,$178.68,Short,$680.65,No,,,,,,,,,
NLS 12/18/2020 10.00 C,CALL NAUTILUS INC $10 EXP 12/18/20,11/19/2020,09/01/2020,1,$8.99,$3.61,$899.33,$360.65,$538.68,149.36%,,$538.68,Short,$360.65,No,,,,,,,,,
WKHS 01/15/2021 20.00 C,CALL WORKHORSE GROUP INC $20 EXP 01/15/21,11/19/2020,09/01/2020,1,$5.99,$6.11,$599.34,$610.65,-$11.31,-1.85%,,-$11.31,Short,$610.65,No,,,,,,,,,
PLUG 12/18/2020 12.00 C,CALL PLUG POWER INC $12 EXP 12/18/20,11/19/2020,09/28/2020,1,$12.39,$2.61,$1239.32,$260.67,$978.65,375.44%,,$978.65,Short,$260.67,No,,,,,,,,,
NXST 01/15/2021 105.00 C,CALL NEXSTAR MEDIA GROUP $105 EXP 01/15/21,11/19/2020,09/02/2020,1,$5.89,$8.04,$589.32,$803.65,-$214.33,-26.67%,,-$214.33,Short,$803.65,No,,,$1354.30,-$175.66,-12.97%,,,,-12.97%
NXST 01/15/2021 105.00 C,CALL NEXSTAR MEDIA GROUP $105 EXP 01/15/21,11/19/2020,09/23/2020,1,$5.89,$5.51,$589.32,$550.65,$38.67,7.02%,,$38.67,Short,$550.65,No,,,$1354.30,-$175.66,-12.97%,,,,-12.97%
NLS 12/18/2020 10.00 C,CALL NAUTILUS INC $10 EXP 12/18/20,11/10/2020,09/01/2020,1,$9.65,$3.61,$965.33,$360.65,$604.68,167.66%,,$604.68,Short,$360.65,No,,,,,,,,,
ALT 03/19/2021 16.00 C,CALL ALTIMMUNE INC $16 EXP 03/19/21,11/09/2020,09/02/2020,1,$0.76,$6.01,$76.35,$600.65,-$524.30,-87.29%,,-$524.30,Short,$600.65,No,,,,,,,,,
KMX 11/20/2020 115.00 C,CALL CARMAX INC $115 EXP 11/20/20,11/09/2020,09/23/2020,1,$0.09,$4.91,$9.35,$490.65,-$481.30,-98.09%,,-$481.30,Short,$490.65,No,,,,,,,,,
ZM 10/23/2020 570.00 C,CALL ZOOM VIDEO COMMUNIC $570 EXP 10/23/20,10/23/2020,09/23/2020,1,$0.00,$29.01,$0.00,$2900.65,-$2900.65,-100.00%,,-$2900.65,Short,$2900.65,No,,,,,,,,,
LX 02/19/2021 7.50 C,CALL LEXINFINTECH HOLDIN $7.5 EXP 02/19/21,10/23/2020,09/02/2020,1,$1.59,$1.86,$159.35,$185.65,-$26.30,-14.17%,,-$26.30,Short,$185.65,No,,,,,,,,,
BLDP 02/19/2021 16.00 C,CALL BALLARD POWER SYS $16 EXP 02/19/21,10/22/2020,09/02/2020,1,$2.79,$3.91,$279.34,$390.65,-$111.31,-28.49%,,-$111.31,Short,$390.65,No,,,,,,,,,
TWOU 12/18/2020 45.00 C,CALL 2U INC $45 EXP 12/18/20,10/22/2020,09/02/2020,1,$0.94,$6.21,$94.35,$620.65,-$526.30,-84.80%,,-$526.30,Short,$620.65,No,,,,,,,,,
NIO 11/27/2020 29.00 C,CALL N I O INC $29 EXP 11/27/20,10/22/2020,10/14/2020,1,$2.49,$3.36,$249.34,$335.65,-$86.31,-25.71%,,-$86.31,Short,$335.65,No,,,,,,,,,
JD 12/18/2020 85.00 C,CALL JD COM INC $85 EXP 12/18/20,10/22/2020,09/01/2020,1,$4.39,$7.61,$439.34,$760.65,-$321.31,-42.24%,,-$321.31,Short,$760.65,No,,,,,,,,,
LLNW 12/18/2020 4.00 C,CALL LIMELIGHT NETWORKS $4 EXP 12/18/20,10/22/2020,09/02/2020,1,$2.24,$2.16,$224.35,$215.65,$8.70,4.03%,,$8.70,Short,$215.65,No,,,,,,,,,
MGPHF,MASON GRAPHITE INC F,10/22/2020,10/08/2020,4750,$0.18,$0.21,$845.34,$1005.62,-$160.28,-15.94%,,-$160.28,Short,$1005.62,No,,,,,,,,,
SYAAF,SYRAH RESOURCES LI ORDF,10/22/2020,10/19/2020,3400,$0.33,$0.38,$1132.35,$1308.00,$0.00,0.00%,,$0.00,Short,$1308.00,Yes,$175.65,,,,,,,,
NLS,NAUTILUS INC,10/22/2020,10/19/2020,100,$25.57,$25.50,$2557.38,$2550.00,$7.38,0.29%,,$7.38,Short,$2550.00,No,,,,,,,,,
EGHT 12/18/2020 17.50 C,CALL 8X8 INC $17.5 EXP 12/18/20,10/22/2020,09/02/2020,1,$1.22,$2.21,$122.35,$220.65,-$98.30,-44.55%,,-$98.30,Short,$220.65,No,,,,,,,,,
AAPL,APPLE INC,10/22/2020,08/20/2020,25,$117.11,$105.19,$2927.82,$2629.79,$298.03,11.33%,,$298.03,Short,$2629.79,No,,,,,,,,,
HEAR 01/15/2021 20.00 C,CALL TURTLE BEACH CORP $20 EXP 01/15/21,10/22/2020,09/02/2020,1,$2.09,$4.48,$209.35,$447.65,-$238.30,-53.23%,,-$238.30,Short,$447.65,No,,,,,,,,,
GBTC,GRAYSCALE BITCOIN TR BTC,10/22/2020,10/21/2020,100,$14.66,$14.45,$1465.97,$1445.00,$20.97,1.45%,,$20.97,Short,$1445.00,No,,,,,,,,,
LLNW 03/19/2021 5.00 C,CALL LIMELIGHT NETWORKS $5 EXP 03/19/21,10/22/2020,10/01/2020,1,$2.19,$1.76,$219.35,$175.65,$43.70,24.88%,,$43.70,Short,$175.65,No,,,,,,,,,
ENPH,ENPHASE ENERGY INC,10/21/2020,10/09/2020,2,$106.57,$110.33,$213.13,$220.67,-$7.54,-3.42%,,-$7.54,Short,$220.67,No,,,,,,,,,
ENPH,ENPHASE ENERGY INC,10/21/2020,10/09/2020,8,$106.59,$110.33,$852.70,$882.68,-$29.98,-3.40%,,-$29.98,Short,$882.68,No,,,,,,,,,
PLUG 12/18/2020 12.00 C,CALL PLUG POWER INC $12 EXP 12/18/20,10/16/2020,09/28/2020,1,$4.89,$2.61,$489.34,$260.67,$228.67,87.72%,,$228.67,Short,$260.67,No,,,,,,,,,
BILI 01/15/2021 50.00 C,CALL BILIBILI INC $50 EXP 01/15/21,10/16/2020,08/13/2020,1,$3.19,$4.26,$319.34,$425.65,-$106.31,-24.98%,,-$106.31,Short,$425.65,No,,,,,,,,,
PTON 01/15/2021 110.00 C,CALL PELOTON INTERACTIVE $110 EXP 01/15/21,10/16/2020,09/02/2020,1,$30.99,$15.51,$3099.28,$1550.65,$1548.63,99.87%,,$1548.63,Short,$1550.65,No,,,,,,,,,
SE 12/18/2020 160.00 C,CALL SEA LTD $160 EXP 12/18/20,10/16/2020,10/05/2020,1,$20.49,$17.21,$2049.30,$1720.65,$328.65,19.10%,,$328.65,Short,$1720.65,No,,,,,,,,,
ARKK 10/16/2020 97.00 C,CALL ARK ETF TR INNOVATI $97 EXP 10/16/20,10/16/2020,08/31/2020,1,$5.79,$5.08,$579.34,$507.65,$71.69,14.12%,,$71.69,Short,$507.65,No,,,,,,,,,
NLS 12/18/2020 15.00 C,CALL NAUTILUS INC $15 EXP 12/18/20,10/16/2020,10/12/2020,1,$9.19,$8.31,$919.33,$830.65,$88.68,10.68%,,$88.68,Short,$830.65,No,,,,,,,,,
BYDDY,BYD CO LTD F SPONSORED ADR 1 ADR REPS 2 ORD SHS,10/09/2020,09/30/2020,65,$32.22,$32.50,$2094.25,$2112.50,-$18.25,-0.86%,,-$18.25,Short,$2112.50,No,,,,,,,,,
AAPL,APPLE INC,10/08/2020,08/20/2020,25,$116.27,$105.19,$2906.69,$2629.79,$276.90,10.53%,,$276.90,Short,$2629.79,No,,,,,,,,,
BOXL,BOXLIGHT CORP 00500 CLASS A,10/08/2020,10/05/2020,1000,$1.94,$2.05,$1939.96,$2045.50,-$105.54,-5.16%,,-$105.54,Short,$2045.50,No,,,,,,,,,
SPY 10/05/2020 323.00 P,PUT SPDR S&P 500 $323 EXP 10/05/20,10/05/2020,09/24/2020,1,$0.00,$5.56,$0.00,$555.65,-$555.65,-100.00%,,-$555.65,Short,$555.65,No,,,,,,,,,
NVDA,NVIDIA CORP,10/01/2020,09/30/2020,10,$542.69,$542.81,$5426.88,$5428.10,-$1.22,-0.02%,,-$1.22,Short,$5428.10,No,,,,,,,,,
TSLA,TESLA INC,09/24/2020,08/20/2020,15,$354.99,$372.00,$5324.88,$5579.97,$0.00,0.00%,,$0.00,Short,$5579.97,Yes,$255.09,,,,,,,,
TSLA,TESLA INC,09/23/2020,06/24/2020,10,$386.96,$194.08,$3869.58,$1940.84,$1928.74,99.38%,,$1928.74,Short,$1940.84,No,,,,,,,,,
AAPL,APPLE INC,09/23/2020,08/20/2020,25,$109.34,$105.19,$2733.44,$2629.79,$103.65,3.94%,,$103.65,Short,$2629.79,No,,,,,,,,,
KCAC,KENSINGTON CAPITAL ACQ C LASS A,09/22/2020,09/04/2020,7,$19.40,$21.30,$135.83,$149.10,-$13.27,-8.90%,,-$13.27,Short,$149.10,No,,,$1042.87,$102.00,9.78%,,,,9.78%
KCAC,KENSINGTON CAPITAL ACQ C LASS A,09/22/2020,09/03/2020,35,$19.40,$17.16,$679.16,$600.70,$78.46,13.06%,,$78.46,Short,$600.70,No,,,$1042.87,$102.00,9.78%,,,,9.78%
KCAC,KENSINGTON CAPITAL ACQ CLASS A,09/22/2020,09/03/2020,17,$19.40,$17.24,$329.88,$293.07,$36.81,12.56%,,$36.81,Short,$293.07,No,,,$1042.87,$102.00,9.78%,,,,9.78%
LSCC 12/18/2020 30.00 C,CALL LATTICE SEMICONDUCT $30 EXP 12/18/20,09/03/2020,09/02/2020,1,$3.09,$3.71,$309.34,$370.65,-$61.31,-16.54%,,-$61.31,Short,$370.65,No,,,,,,,,,
DAN 12/18/2020 13.00 C,CALL DANA HOLDING CORP 0 $13 EXP 12/18/20,09/03/2020,09/02/2020,1,$2.64,$2.71,$264.34,$270.65,-$6.31,-2.33%,,-$6.31,Short,$270.65,No,,,,,,,,,
AXL 01/15/2021 7.00 C,CALL AMERICAN AXLE & MFG $7 EXP 01/15/21,09/03/2020,09/02/2020,1,$2.21,$2.21,$221.35,$220.65,$0.70,0.32%,,$0.70,Short,$220.65,No,,,,,,,,,
WORK 12/18/2020 35.00 C,CALL SLACK TECHNOLOGIES $35 EXP 12/18/20,09/03/2020,09/01/2020,1,$4.29,$5.80,$429.34,$579.65,-$150.31,-25.93%,,-$150.31,Short,$579.65,No,,,,,,,,,
