Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume
ABMD,304.05,2020/12/23,16:00 EST,1.7200012,304.34,309.13,301.92,187556
ALT,12.62,2020/12/23,16:00 EST,-0.9300003,13.47,13.69,12.52,1482008
AXP,116.95,2020/12/23,16:02 EST,2.399994,115.78,118.19,115.78,2460795
PLAN,73.23,2020/12/23,16:00 EST,-0.4300003,73.37,74.67,72.31,1559985
BOXL,1.69,2020/12/23,16:00 EST,-0.059999943,1.72,1.735,1.69,2012738
CHGG,93.08,2020/12/23,16:00 EST,-0.80999756,93.61,94.49,92.0301,1451681
KODK,9.36,2020/12/23,16:00 EST,-0.1600008,9.47,9.5,9.23,2939491
EBAY,51.13,2020/12/23,16:00 EST,-0.48999786,52,52,51.13,4739607
GD,148.15,2020/12/23,16:00 EST,1.6499939,147.36,149.4,147,1080224
GRAF,24.75,2020/09/29,16:00 EDT,0.33,25.5,25.54,23.1849,2625896
GGAL,8.69,2020/12/23,16:00 EST,0.23999977,8.48,8.79,8.48,350994
NTLA,63.35,2020/12/23,16:00 EST,-0.1800003,64.35,67.39,60.28,1368014
MRVL,46.41,2020/12/23,16:00 EST,-0.7400017,47.18,47.48,46.36,5697038
IO,2.51,2020/12/23,16:00 EST,0.24000001,2.27,2.59,2.27,555174
MRK,79.76,2020/12/23,16:02 EST,0.34000397,79.59,80.43,79.57,5562103
OVID,2.69,2020/12/23,16:00 EST,0.07000017,2.67,2.72,2.6,1209603
CRM,227.43,2020/12/23,16:00 EST,-3.7400055,232.5,233.18,227.11,6985278
RUN,69.87,2020/12/23,16:00 EST,0.6000061,70.0317,71.3,68.7001,4606177
TPL,699,2020/12/23,16:00 EST,-1,701,708,690.4,15316
ZM,383.88,2020/12/23,16:00 EST,-25.119995,402,402.6,378.58,9554390
ZBH,148.98,2020/12/23,16:03 EST,-1.8500061,151.67,152.3,148.94,649190
Z,141.23,2020/12/23,16:00 EST,0.56999207,141.06,142.35,137.94,2212888
WING,140.18,2020/12/23,16:00 EST,-4.8900146,145.19,145.58,137.67,382210
VSLR,43.08,2020/10/07,16:00 EDT,-0.119999,44.13,45.3,42.66,5977484
VEEV,285.18,2020/12/23,16:00 EST,-1.2600098,269.3,292.77,285.17,899847
TTWO,201.82,2020/12/23,16:00 EST,-0.039993286,202.8,203.44,199.93,684461
TTD,923.99,2020/12/23,16:00 EST,-47.130005,969,970,921.91,793199
SWKS,150.74,2020/12/23,16:00 EST,1.3100128,150.09,152.94,148.77,1413337
STRT,52.61,2020/12/23,16:00 EST,0.3600006,52.25,52.92,51.71,8222
STAA,81.82,2020/12/23,16:00 EST,2.0599976,80.34,83.89,78.625,770790
SPLK,182.55,2020/12/23,16:00 EST,5.550003,177.56,185.685,177.5,3302949
QDEL,200.01,2020/12/23,16:00 EST,-3.5900116,201.74,202.59,195.433,739450
PYPL,239.44,2020/12/23,16:00 EST,-4.050003,243.6,244.25,238.34,6421336
PTON,162.76,2020/12/23,16:00 EST,1.5499878,160.6,163.584,154.26,12869000
PINS,72.99,2020/12/23,16:04 EST,0.6399994,73,75.4411,72.65,11017043
PFE,37.44,2020/12/23,16:02 EST,0.69999695,37.01,37.65,36.88,33435809
OKTA,272.52,2020/12/23,16:00 EST,-13.080017,287,287.35,272.27,1670933
NXST,104.19,2020/12/23,16:00 EST,4.560005,99.95,104.44,99.95,368689
NIO,47.01,2020/12/23,16:00 EST,-0.5700035,47.48,48.36,45.81,79331937
NFLX,514.48,2020/12/23,16:00 EST,-12.850037,524.76,525.95,514.23,2305310
NEE,74.33,2020/12/23,16:00 EST,-0.37999725,75.16,75.55,74.33,4496515
MYOK,224.91,2020/11/16,16:00 EST,0,224.82,225,224.79,2650983
MU,69.95,2020/12/23,16:00 EST,-0.4900055,70.47,71.055,69.895,8523980
MTH,85.89,2020/12/23,16:00 EST,-0.9599991,87.31,87.46,84.68,336260
MOMO,13.49,2020/12/23,16:00 EST,-0.07000065,13.565,13.66,13.15,4039160
LULU,355.13,2020/12/23,16:00 EST,-4.9400024,363,363.99,354.975,1348838
LLNW,4.14,2020/12/23,16:00 EST,-0.07000017,4.19,4.2011,4.085,3406901
JD,85.46,2020/12/23,16:00 EST,2.6699982,85.04,87.47,84.215,13241494
GRMN,120.24,2020/12/23,16:00 EST,1.0999985,119.77,121.35,119.77,587883
GMAB,39.09,2020/12/23,16:00 EST,-0.9000015,39.28,39.32,38.725,402986
GKOS,74.87,2020/12/23,16:00 EST,0.73000336,74.11,75.24,73.4823,254509
FTNT,150.24,2020/12/23,16:00 EST,-1.9099884,152.56,153.15,149.97,1005849
DXCM,355.99,2020/12/23,16:00 EST,1.7599792,357.17,364.99,355.98,612582
FLGT,46.94,2020/12/23,16:00 EST,-2.8500023,50,51.4099,46.82,1110142
DOCU,244.05,2020/12/23,16:00 EST,-7.550003,252,252.3255,244.5,2036138
CUE,13.06,2020/12/23,16:00 EST,-0.03999996,13.1,13.74,12.84,381582
BLDR,41.56,2020/12/23,16:00 EST,0.51000214,41.22,41.73,40.63,1667558
BLCM,3.73,2020/12/23,16:00 EST,0.13000011,3.67,3.74,3.46,1134596
BABA,256.18,2020/12/23,16:00 EST,0.34999084,255.5,257.3499,252.5301,10292210
AVID,13.8,2020/12/23,16:00 EST,-0.3000002,14.22,14.32,13.75,314680
ANTM,308.35,2020/12/23,16:00 EST,5.0500183,306.43,311.67,306.43,736894
AGYS,41.82,2020/12/23,16:00 EST,-0.11000061,41.99,42.5862,41.71,96168
AAWW,55.75,2020/12/23,16:00 EST,-0.3600006,56.17,56.95,55.65,201509
BDSI,4.32,2020/12/23,16:00 EST,0.07000017,4.3,4.39,4.24,422680
CRSP,173.23,2020/12/23,16:00 EST,3.149994,176.56,178.01,168.31,2483669
FSLY,100.62,2020/12/23,16:00 EST,-4.149994,105.1,105.3,100.39,3505594
LVGO,139.77,2020/10/29,16:00 EDT,0,140.45,145.91,137.52,8767721
MGPHF,0.2804,2020/12/23,15:59 EST,-0.00029999018,0.253,0.2892,0.253,86203
MMNFF,0.1299,2020/12/23,15:59 EST,0.0058999956,0.1225,0.13,0.12,5169283
SAIL,56.58,2020/12/23,16:00 EST,-2.2699966,59.09,59.62,56.39,1412410
SSP,14.46,2020/12/23,16:00 EST,0.46000004,14,14.66,13.96,352663
TSM,103.76,2020/12/23,16:00 EST,-0.1800003,104.67,104.87,103.6,3299984
BZUN,34.55,2020/12/23,16:00 EST,0.38000107,34.29,34.83,34.285,883155
CRNT,2.82,2020/12/23,16:00 EST,0,2.82,2.88,2.8,307051
NET,81.9,2020/12/23,16:00 EST,-4.659996,86.55,86.55,81.25,4786740
BLDP,23.48,2020/12/23,16:00 EST,0.7749996,23.05,23.61,22.49,7070788
CRWD,223.5,2020/12/23,16:00 EST,-1.3999939,225.63,227.2624,216.64,5039762
NKLA,15.03,2020/12/23,16:00 EST,-1.8000002,15.55,15.6,15,30492602
NEO,55.41,2020/12/23,16:00 EST,-1.0600014,56.9,57.07,55.2,488506
NVCR,170.72,2020/12/23,16:00 EST,-0.27999878,170.04,175.75,166.05,554920
SOHU,16.83,2020/12/23,16:00 EST,-0.29000092,17.16,17.16,16.67,238717
TWOU,42.57,2020/12/23,16:00 EST,0.7900009,41.99,43.71,41.79,1283329
INSG,16.76,2020/12/23,16:00 EST,-0.9899998,17.21,17.34,16.05,6602371
IIPR,188.75,2020/12/23,16:00 EST,-8.889999,196,199.35,186.0704,680849
INVA,11.94,2020/12/23,16:00 EST,-0.13000011,12.08,12.09,11.875,587661
ASML,474.62,2020/12/23,16:00 EST,-1.5599976,478.94,480.39,474.2,387927
AXL,8.33,2020/12/23,16:00 EST,0.18999958,8.37,8.6,8.3,2120909
LX,6.74,2020/12/23,16:00 EST,0.2999997,6.49,6.79,6.43,2060539
IMMU,87.86,2020/10/22,16:00 EDT,0,87.85,87.93,87.83,0
ACRGF,2.77,2020/09/22,15:59 EDT,-0.0250001,2.81,2.84,2.7485,131677
BILI,82.78,2020/12/23,16:00 EST,-3.0999985,87,87.26,81.1,4371597
NVDA,520.37,2020/12/23,16:00 EST,-10.76001,530.24,531,520.2,4478569
NGPHF,0.1888,2020/12/23,15:17 EST,-0.0061999857,0.195,0.1957,0.1866,85950
YI,6.59,2020/12/23,16:00 EST,0.03999996,6.7,6.75,6.51,673059
TWLO,363.28,2020/12/23,16:00 EST,-7.470001,371,373.5,358.09,1147152
SNOW,331.65,2020/12/23,16:00 EST,-9.51001,341.16,343.3999,328.26,2740215
