Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume
LAZR,35.22,2020/12/23,16:00 EST,-2.1499977,36.15,36.96,33.01,13841786
CURO,13.81,2020/12/23,16:00 EST,-0.37999916,14.04,14.8598,13.68,354707
LSCC,43.36,2020/12/23,16:00 EST,-0.3600006,44.4072,44.4072,43.33,392800
EGHT,34.56,2020/12/23,16:00 EST,1.0200005,33.74,34.69,32.69,1716225
HNHPF,6.46,2020/12/23,15:58 EST,0.09000015,6.395,6.48,6.38,122825
APHA,7.42,2020/12/23,16:00 EST,0.3000002,7.12,7.5,6.95,9632426
QS,110.79,2020/12/23,16:00 EST,-20.879997,122.02,123.4999,103.1,27479425
GRWG,41.23,2020/12/23,16:00 EST,-0.920002,42.65,43.14,41.06,2072459
ALTR,59.19,2020/12/23,16:00 EST,0.7599983,58.43,59.48,58.0555,183718
NVAX,127.65,2020/12/23,16:00 EST,12.279999,111.88,130,107.08,6681393
GWPH,118.43,2020/12/23,16:00 EST,-4.2699966,122.19,122.58,117.74,408690
LLY,165.48,2020/12/23,16:02 EST,-1.2400055,167.45,167.9997,165.47,1659668
MSFT,221.02,2020/12/23,16:00 EST,-2.9199982,223.11,223.5589,220.8,18699638
FB,268.11,2020/12/23,16:00 EST,1.019989,271.5,272.1699,266.25,14329038
ADBE,496.91,2020/12/23,16:00 EST,-7.26001,505.13,505.43,496.6,1428583
LH,204.06,2020/12/23,16:00 EST,0.66999817,203.17,204.78,202.55,380781
MRO,6.81,2020/12/23,16:00 EST,0.5,6.41,6.96,6.4,30005280
DD,69.18,2020/12/23,16:02 EST,-1.2399979,70.42,71.04,69.16,7098911
DIS,173.55,2020/12/23,16:02 EST,3.100006,172.96,175.95,172.3,9880430
DFS,88.37,2020/12/23,16:00 EST,1.5300064,87.29,88.92,87.15,1398742
KMX,93.18,2020/12/23,16:04 EST,0.8499985,92.94,94.01,92,2483144
ABT,107.45,2020/12/23,16:02 EST,-0.83000183,108.87,109.6792,107.43,3079079
REGN,492.19,2020/12/23,16:00 EST,2.130005,491.2,493.63,488.5201,546008
MX,13.06,2020/12/23,16:00 EST,-0.019999504,13.22,13.25,13.05,177248
ROCK,71.48,2020/12/23,16:00 EST,0.37000275,71.7,71.74,70.88,70690
BYSI,11.38,2020/12/23,16:00 EST,-0.010000229,11.42,11.745,11.3199,223981
ALBO,38.64,2020/12/23,16:00 EST,-1.1399994,40.07,40.6,38.53,238755
TECK,17.82,2020/12/23,16:00 EST,0.47999954,17.55,17.98,17.55,1322690
VST,18.47,2020/12/23,16:00 EST,0.34000015,18.25,18.57,18.0808,3417961
CNR,9.9,2020/12/23,16:00 EST,0.19999981,9.77,9.96,9.68,320846
SMED,9.5,2020/12/23,16:00 EST,0.3800001,9.285,9.6,9.01,77822
PAYS,4.715,2020/12/23,16:00 EST,-0.1949997,4.69,4.735,4.37,737647
SHSP,16.83,2020/12/23,16:00 EST,-0.7600002,17.68,18.05,16.68,100301
TW,64.98,2020/12/23,16:00 EST,-0.4300003,65.82,66.32,64.8,650964
ALXN,153.24,2020/12/23,16:00 EST,-0.56999207,154.15,154.17,153.16,3867314
DAL,40.24,2020/12/23,16:00 EST,1.300003,39.295,40.47,39.18,12434439
HAL,19.48,2020/12/23,16:00 EST,0.3599987,19.28,19.955,19.23,9110637
EMKR,4.685,2020/12/23,16:00 EST,-0.045000076,4.52,4.79,4.52,423438
TDOC,209.42,2020/12/23,16:00 EST,3.380005,206.55,212.92,203.3001,2856198
AL,42.78,2020/12/23,16:00 EST,2.039997,41.45,42.99,40.92,781083
NBL,8.46,2020/10/02,16:00 EDT,0,8.16,8.51,8.13,12416336
MPC,41.31,2020/12/23,16:00 EST,1.6400032,40,41.59,40,4641526
ZNGA,9.93,2020/12/23,16:00 EST,-0.059999466,9.99,10.03,9.81,12359338
SYF,34.13,2020/12/23,16:00 EST,0.87000275,33.6,34.4,33.535,2866542
COF,96.82,2020/12/23,16:00 EST,1.8300018,95.98,97.83,95.75,1748268
VNET,32.61,2020/12/23,16:00 EST,-0.579998,33.2,33.64,32.12,1222231
