Symbol,Name,Closed Date,Opened Date,Quantity,Proceeds Per Share,Cost Per Share,Proceeds,Cost Basis,Gain/Loss ($),Gain/Loss (%),Long Term Gain/Loss,Short Term Gain/Loss,Term,Unadjusted Cost Basis,Wash Sale?,Disallowed Loss,Transaction Closed Date,Transaction Cost Basis,Total Transaction Gain/Loss ($),Total Transaction Gain/Loss (%),LT Transaction Gain/Loss ($),LT Transaction Gain/Loss (%),ST Transaction Gain/Loss ($),ST Transaction Gain/Loss (%)
SYAAF,SYRAH RESOURCES LI ORDF,12/22/2020,12/17/2020,2000,$0.65,$0.72,$1303.00,$1450.00,-$147.00,-10.14%,,-$147.00,Short,$1450.00,No,,,,,,,,,
BILI,BILIBILI INC F UNSPONSORED ADR 1 ADR REPS ORD SHS,12/22/2020,12/21/2020,13,$85.90,$87.70,$1116.71,$1140.10,-$23.39,-2.05%,,-$23.39,Short,$1140.10,No,,,,,,,,,
TLGRF,TALGA GROUP LTD ORDF,12/21/2020,12/17/2020,800,$1.16,$1.38,$931.98,$1104.00,-$172.02,-15.58%,,-$172.02,Short,$1104.00,No,,,,,,,,,
TLGRF,TALGA GROUP LTD ORDF,12/21/2020,12/17/2020,200,$1.16,$1.38,$232.09,$276.00,-$43.91,-15.91%,,-$43.91,Short,$276.00,No,,,,,,,,,
IIPR 12/18/2020 165.00 C,CALL INNOVATIVE INDUSTRI $165 EXP 12/18/20,12/17/2020,11/05/2020,1,$18.59,$5.91,$1859.31,$590.65,$1268.66,214.79%,,$1268.66,Short,$590.65,No,,,,,,,,,
ALT,ALTIMMUNE INC,12/14/2020,11/30/2020,65,$13.39,$12.34,$870.66,$802.10,$68.56,8.55%,,$68.56,Short,$802.10,No,,,,,,,,,
NLS,NAUTILUS INC,12/14/2020,11/19/2020,55,$17.14,$19.70,$942.52,$1083.59,-$141.07,-13.02%,,-$141.07,Short,$1083.59,No,,,,,,,,,
ACB,AURORA CANNABIS INC F,12/14/2020,11/30/2020,95,$9.56,$11.05,$908.66,$1049.75,-$141.09,-13.44%,,-$141.09,Short,$1049.75,No,,,$1105.00,-$148.52,-13.44%,,,,-13.44%
ACB,AURORA CANNABIS INC F,12/14/2020,11/30/2020,5,$9.56,$11.05,$47.82,$55.25,-$7.43,-13.45%,,-$7.43,Short,$55.25,No,,,$1105.00,-$148.52,-13.44%,,,,-13.44%
NVAX,NOVAVAX INC,12/03/2020,11/30/2020,10,$127.14,$143.55,$1271.39,$1435.50,-$164.11,-11.43%,,-$164.11,Short,$1435.50,No,,,,,,,,,
DOGEF,ORSTED A/S ORDF,11/27/2020,09/24/2020,4,$167.50,$141.78,$670.00,$567.12,$102.88,18.14%,,$102.88,Short,$567.12,No,,,,,,,,,
OROCF,OROCOBRE LTD ORD F AUSTRALIAN SHARES,11/25/2020,11/18/2020,238,$2.54,$2.66,$604.50,$633.08,-$28.58,-4.51%,,-$28.58,Short,$633.08,No,,,,,,,,,
CLLS,CELLECTIS S A F SPONSORED ADR 1 ADR REPS 1 ORD SHS,11/24/2020,09/11/2020,30,$22.40,Missing,$671.99,Missing,N/A,N/A,,N/A,Short,Missing,No,,,,,,,,,
FVRR,FIVERR INTERNTNL LTD F,11/24/2020,09/11/2020,5,$194.55,Missing,$972.73,Missing,N/A,N/A,,N/A,Short,Missing,No,,,,,,,,,
BYDDY,BYD CO LTD F SPONSORED ADR 1 ADR REPS 2 ORD SHS,11/24/2020,09/02/2020,21,$52.15,$22.31,$1095.14,$468.51,$626.63,133.75%,,$626.63,Short,$468.51,No,,,,,,,,,
FVRR,FIVERR INTERNTNL LTD F,11/24/2020,09/11/2020,2,$194.55,Missing,$389.09,Missing,N/A,N/A,,N/A,Short,Missing,No,,,,,,,,,
