Symbol,Name,Closed Date,Quantity,Proceeds,CostBasis,Total Gain/Loss ($),Total Gain/Loss (%),Long Term Gain/Loss ($),Long Term Gain/Loss (%),Short Term Gain/Loss ($),Short Term Gain/Loss (%),Wash Sale?,Disallowed Loss,Transaction Closed Date,Transaction Cost Basis,Total Transaction Gain/Loss ($),Total Transaction Gain/Loss (%),LT Transaction Gain/Loss ($),LT Transaction Gain/Loss (%),ST Transaction Gain/Loss ($),ST Transaction Gain/Loss (%)
BE,BLOOM ENERGY CORP,07/29/2020,73,$1103.01,$802.29,$300.72,37.48%,--,--,$300.72,37.48%,No,,,,,,,,,
BE,BLOOM ENERGY CORP,11/24/2020,50,$1239.40,$774.45,$464.95,60.04%,--,--,$464.95,60.04%,No,,,,,,,,,
BE,BLOOM ENERGY CORP,12/02/2020,50,$1129.48,$969.00,$160.48,16.56%,--,--,$160.48,16.56%,No,,,,,,,,,
BA,BOEING CO,07/01/2020,15,$2721.45,$1987.06,$734.39,36.96%,--,--,$734.39,36.96%,No,,,,,,,,,
BA,BOEING CO,07/07/2020,3,$548.15,$397.41,$150.74,37.93%,--,--,$150.74,37.93%,No,,,,,,,,,
BA,BOEING CO,07/07/2020,2,$365.43,$264.94,$100.49,37.93%,--,--,$100.49,37.93%,No,,,,,,,,,
BA,BOEING CO,07/09/2020,4,$696.59,$529.88,$166.71,31.46%,--,--,$166.71,31.46%,No,,,,,,,,,
BA,BOEING CO,07/30/2020,6,$977.38,$794.83,$182.55,22.97%,--,--,$182.55,22.97%,No,,,,,,,,,
BOXL,BOXLIGHT CORP 00500 CLASS A,07/01/2020,1097,$957.11,$1023.71,$0.00,0.00%,--,--,$0.00,0.00%,Yes,$66.60,,,,,,,,
BOXL,BOXLIGHT CORP 00500 CLASS A,07/01/2020,503,$437.60,$469.40,$0.00,0.00%,--,--,$0.00,0.00%,Yes,$31.80,,,,,,,,
BOXL,BOXLIGHT CORP 00500 CLASS A,07/06/2020,3400,$3060.27,$3813.28,-$702.96,-18.43%,--,--,-$702.96,-18.43%,Yes,$50.05,,$3714.88,-$654.61,-17.62%,,,-$654.61,-17.62%
BOXL,BOXLIGHT CORP 00500 CLASS A,07/20/2020,500,$1490.02,$1864.06,-$374.04,-20.07%,--,--,-$374.04,-20.07%,No,,,$1847.50,-$357.48,-19.35%,,,-$357.48,-19.35%
BOXL,BOXLIGHT CORP 00500 CLASS A,07/30/2020,481,$1072.61,$733.35,$339.26,46.26%,--,--,$339.26,46.26%,No,,,$699.86,$372.75,53.26%,,,$372.75,53.26%
BOXL,BOXLIGHT CORP 00500 CLASS A,10/08/2020,1000,$1939.96,$2045.50,-$105.54,-5.16%,--,--,-$105.54,-5.16%,No,,,,,,,,,
BYDDY,BYD CO LTD F SPONSORED ADR 1 ADR REPS 2 ORD SHS,08/06/2020,5,$101.40,$93.90,$7.50,7.99%,--,--,$7.50,7.99%,No,,,,,,,,,
BYDDY,BYD CO LTD F SPONSORED ADR 1 ADR REPS 2 ORD SHS,08/17/2020,70,$1296.79,$1314.60,-$17.81,-1.35%,--,--,-$17.81,-1.35%,No,,,,,,,,,
BYDDY,BYD CO LTD F SPONSORED ADR 1 ADR REPS 2 ORD SHS,10/09/2020,65,$2094.25,$2112.50,-$18.25,-0.86%,--,--,-$18.25,-0.86%,No,,,,,,,,,
BYDDF,BYD CO LTD ORDF,07/22/2020,100,$912.00,$976.50,-$64.50,-6.61%,--,--,-$64.50,-6.61%,No,,,,,,,,,
TWOU 10/16/2020 45.00 C,CALL 2U INC $45 EXP 10/16/20,08/24/2020,1,$129.35,$410.65,-$281.30,-68.50%,--,--,-$281.30,-68.50%,No,,,,,,,,,
TWOU 12/18/2020 45.00 C,CALL 2U INC $45 EXP 12/18/20,10/22/2020,1,$94.35,$620.65,-$526.30,-84.80%,--,--,-$526.30,-84.80%,No,,,,,,,,,
EGHT 12/18/2020 17.50 C,CALL 8X8 INC $17.5 EXP 12/18/20,10/22/2020,1,$122.35,$220.65,-$98.30,-44.55%,--,--,-$98.30,-44.55%,No,,,,,,,,,
AEIS 08/21/2020 70.00 C,CALL ADVANCED ENERGY IND $70 EXP 08/21/20,08/13/2020,1,$1099.33,$700.65,$398.68,56.90%,--,--,$398.68,56.90%,No,,,,,,,,,
ALT 03/19/2021 16.00 C,CALL ALTIMMUNE INC $16 EXP 03/19/21,11/09/2020,1,$76.35,$600.65,-$524.30,-87.29%,--,--,-$524.30,-87.29%,No,,,,,,,,,
ALT 08/21/2020 22.50 C,CALL ALTIMMUNE INC $22.5 EXP 08/21/20,08/20/2020,1,$239.34,$450.65,-$211.31,-46.89%,--,--,-$211.31,-46.89%,No,,,,,,,,,
AXL 01/15/2021 7.00 C,CALL AMERICAN AXLE & MFG $7 EXP 01/15/21,09/03/2020,1,$221.35,$220.65,$0.70,0.32%,--,--,$0.70,0.32%,No,,,,,,,,,
ANTM 09/04/2020 275.00 C,CALL ANTHEM INC $275 EXP 09/04/20,08/13/2020,1,$1119.33,$970.65,$148.68,15.32%,--,--,$148.68,15.32%,No,,,,,,,,,
ANTM 12/18/2020 320.00 C,CALL ANTHEM INC $320 EXP 12/18/20,11/19/2020,1,$859.33,$680.65,$178.68,26.25%,--,--,$178.68,26.25%,No,,,,,,,,,
AAPL 08/21/2020 415.00 C,CALL APPLE INC $415 EXP 08/21/20,08/20/2020,1,$4999.24,$3150.65,$1848.59,58.67%,--,--,$1848.59,58.67%,No,,,,,,,,,
ARKG 09/18/2020 63.00 C,CALL ARK ETF TR GENOMIC $63 EXP 09/18/20,09/02/2020,2,$248.65,$351.34,-$102.69,-29.23%,--,--,-$102.69,-29.23%,No,,,,,,,,,
ARKK 10/16/2020 97.00 C,CALL ARK ETF TR INNOVATI $97 EXP 10/16/20,10/16/2020,1,$579.34,$507.65,$71.69,14.12%,--,--,$71.69,14.12%,No,,,,,,,,,
BLDP 02/19/2021 16.00 C,CALL BALLARD POWER SYS $16 EXP 02/19/21,10/22/2020,1,$279.34,$390.65,-$111.31,-28.49%,--,--,-$111.31,-28.49%,No,,,,,,,,,
BZUN 01/15/2021 45.00 C,CALL BAOZUN INC $45 EXP 01/15/21,11/23/2020,1,$119.35,$590.65,-$471.30,-79.79%,--,--,-$471.30,-79.79%,No,,,,,,,,,
GOLD 09/25/2020 28.00 C,CALL BARRICK GOLD CORP $28 EXP 09/25/20,08/24/2020,1,$190.35,$269.65,-$79.30,-29.41%,--,--,-$79.30,-29.41%,No,,,,,,,,,
BYND 08/07/2020 124.00 C,CALL BEYOND MEAT INC $124 EXP 08/07/20,08/04/2020,1,$1889.31,$900.65,$988.66,109.77%,--,--,$988.66,109.77%,No,,,,,,,,,
BILI 01/15/2021 50.00 C,CALL BILIBILI INC $50 EXP 01/15/21,10/16/2020,1,$319.34,$425.65,-$106.31,-24.98%,--,--,-$106.31,-24.98%,No,,,,,,,,,
BDSI 03/19/2021 3.00 C,CALL BIODELIVERY SCI INT $3 EXP 03/19/21,11/23/2020,3,$340.00,$571.99,-$231.99,-40.56%,--,--,-$231.99,-40.56%,No,,,,,,,,,
BE 01/15/2021 18.00 C,CALL BLOOM ENERGY CORP $18 EXP 01/15/21,08/07/2020,1,$184.35,$530.65,-$346.30,-65.26%,--,--,-$346.30,-65.26%,No,,,,,,,,,
BA 01/15/2021 235.00 C,CALL BOEING CO $235 EXP 01/15/21,12/15/2020,1,$974.33,$685.65,$288.68,42.10%,--,--,$288.68,42.10%,No,,,,,,,,,
KMX 11/20/2020 115.00 C,CALL CARMAX INC $115 EXP 11/20/20,11/09/2020,1,$9.35,$490.65,-$481.30,-98.09%,--,--,-$481.30,-98.09%,No,,,,,,,,,
CRNT 08/21/2020 2.50 C,CALL CERAGON NETWORKS LT $2.5 EXP 08/21/20,08/21/2020,2,$0.00,$71.34,-$71.34,-100.00%,--,--,-$71.34,-100.00%,No,,,,,,,,,
CRNT 12/18/2020 2.50 C,CALL CERAGON NETWORKS LT $2.5 EXP 12/18/20,11/19/2020,10,$113.37,$206.67,-$93.30,-45.14%,--,--,-$93.30,-45.14%,No,,,,,,,,,
CHGG 08/21/2020 80.00 C,CALL CHEGG INC $80 EXP 08/21/20,08/20/2020,1,$44.35,$636.65,-$592.30,-93.03%,--,--,-$592.30,-93.03%,No,,,,,,,,,
CUE 01/15/2021 17.50 C,CALL CUE BIOPHARMA INC $17.5 EXP 01/15/21,11/20/2020,2,$8.67,$801.34,-$792.67,-98.92%,--,--,-$792.67,-98.92%,No,,,,,,,,,
CURO 04/16/2021 10.00 C,CALL CURO GROUP HOLDINGS $10 EXP 04/16/21,12/21/2020,1,$539.34,$735.65,-$196.31,-26.69%,--,--,-$196.31,-26.69%,No,,,,,,,,,
DAN 12/18/2020 13.00 C,CALL DANA HOLDING CORP 0 $13 EXP 12/18/20,09/03/2020,1,$264.34,$270.65,-$6.31,-2.33%,--,--,-$6.31,-2.33%,No,,,,,,,,,
DXCM 08/21/2020 460.00 C,CALL DEXCOM INC $460 EXP 08/21/20,08/21/2020,1,$0.00,$1060.65,-$1060.65,-100.00%,--,--,-$1060.65,-100.00%,No,,,,,,,,,
APPS 08/21/2020 12.50 C,CALL DIGITAL TURBINE INC $12.5 EXP 08/21/20,08/17/2020,2,$2658.60,$991.30,$1667.30,168.19%,--,--,$1667.30,168.19%,No,,,,,,,,,
ENPH 08/21/2020 57.50 C,CALL ENPHASE ENERGY INC $57.5 EXP 08/21/20,08/04/2020,1,$1379.32,$680.65,$698.67,102.65%,--,--,$698.67,102.65%,No,,,,,,,,,
ETSY 09/04/2020 125.00 C,CALL ETSY INC $125 EXP 09/04/20,08/24/2020,1,$728.33,$980.65,-$252.32,-25.73%,--,--,-$252.32,-25.73%,No,,,,,,,,,
FB 07/31/2020 232.50 C,CALL FACEBOOK INC $232.5 EXP 07/31/20,07/31/2020,1,$1789.31,$758.65,$1030.66,135.85%,--,--,$1030.66,135.85%,No,,,,,,,,,
FB 09/04/2020 272.50 C,CALL FACEBOOK INC $272.5 EXP 09/04/20,08/13/2020,1,$599.34,$1150.65,-$551.31,-47.91%,--,--,-$551.31,-47.91%,No,,,,,,,,,
FSLY 12/18/2020 125.00 C,CALL FASTLY INC $125 EXP 12/18/20,11/20/2020,1,$56.35,$1600.65,-$1544.30,-96.48%,--,--,-$1544.30,-96.48%,No,,,,,,,,,
FSLY 08/07/2020 93.00 C,CALL FASTLY INC $93 EXP 08/07/20,08/04/2020,1,$2229.30,$940.65,$1288.65,137.00%,--,--,$1288.65,137.00%,No,,,,,,,,,
FVRR 10/16/2020 120.00 C,CALL FIVERR INTERNTNL LT $120 EXP 10/16/20,08/24/2020,1,$965.33,$1192.65,-$227.32,-19.06%,--,--,-$227.32,-19.06%,No,,,,,,,,,
INSG 08/21/2020 12.50 C,CALL INSEEGO CORP $12.5 EXP 08/21/20,08/07/2020,1,$84.35,$195.65,-$111.30,-56.89%,--,--,-$111.30,-56.89%,No,,,,,,,,,
NTLA 01/15/2021 20.00 C,CALL INTELLIA THERAPEUTI $20 EXP 01/15/21,09/02/2020,1,$509.34,$620.65,-$111.31,-17.93%,--,--,-$111.31,-17.93%,No,,,,,,,,,
NTLA 01/15/2021 25.00 C,CALL INTELLIA THERAPEUTI $25 EXP 01/15/21,11/19/2020,1,$559.34,$340.65,$218.69,64.20%,--,--,$218.69,64.20%,No,,,,,,,,,
JD 12/18/2020 85.00 C,CALL JD COM INC $85 EXP 12/18/20,10/22/2020,1,$439.34,$760.65,-$321.31,-42.24%,--,--,-$321.31,-42.24%,No,,,,,,,,,
JMIA 09/18/2020 10.00 C,CALL JUMIA TECHNOLOGIES $10 EXP 09/18/20,08/07/2020,1,$769.33,$780.65,-$11.32,-1.45%,--,--,-$11.32,-1.45%,No,,,,,,,,,
JMIA 01/15/2021 20.00 C,CALL JUMIA TECHNOLOGIES $20 EXP 01/15/21,11/27/2020,1,$1699.31,$630.65,$1068.66,169.45%,--,--,$1068.66,169.45%,No,,,,,,,,,
LSCC 12/18/2020 30.00 C,CALL LATTICE SEMICONDUCT $30 EXP 12/18/20,09/03/2020,1,$309.34,$370.65,-$61.31,-16.54%,--,--,-$61.31,-16.54%,No,,,,,,,,,
LX 08/21/2020 7.50 C,CALL LEXINFINTECH HOLDIN $7.5 EXP 08/21/20,08/20/2020,1,$59.35,$100.65,-$41.30,-41.03%,--,--,-$41.30,-41.03%,No,,,,,,,,,
LX 02/19/2021 7.50 C,CALL LEXINFINTECH HOLDIN $7.5 EXP 02/19/21,10/23/2020,1,$159.35,$185.65,-$26.30,-14.17%,--,--,-$26.30,-14.17%,No,,,,,,,,,
LLNW 12/18/2020 4.00 C,CALL LIMELIGHT NETWORKS $4 EXP 12/18/20,10/22/2020,1,$224.35,$215.65,$8.70,4.03%,--,--,$8.70,4.03%,No,,,,,,,,,
LLNW 03/19/2021 5.00 C,CALL LIMELIGHT NETWORKS $5 EXP 03/19/21,10/22/2020,1,$219.35,$175.65,$43.70,24.88%,--,--,$43.70,24.88%,No,,,,,,,,,
LVGO 08/07/2020 127.00 C,CALL LIVONGO HEALTH INC $127 EXP 08/07/20,08/04/2020,1,$1629.31,$860.65,$768.66,89.31%,--,--,$768.66,89.31%,No,,,,,,,,,
HZO 08/21/2020 30.00 C,CALL MARINEMAX INC $30 EXP 08/21/20,07/31/2020,1,$64.35,$170.65,-$106.30,-62.29%,--,--,-$106.30,-62.29%,No,,,,,,,,,
MU 01/15/2021 45.00 C,CALL MICRON TECHNOLOGY $45 EXP 01/15/21,11/19/2020,1,$1599.31,$569.65,$1029.66,180.75%,--,--,$1029.66,180.75%,No,,,,,,,,,
NIO 11/27/2020 29.00 C,CALL N I O INC $29 EXP 11/27/20,10/22/2020,1,$249.34,$335.65,-$86.31,-25.71%,--,--,-$86.31,-25.71%,No,,,,,,,,,
NLS 12/18/2020 10.00 C,CALL NAUTILUS INC $10 EXP 12/18/20,11/10/2020,1,$965.33,$360.65,$604.68,167.66%,--,--,$604.68,167.66%,No,,,,,,,,,
NLS 12/18/2020 10.00 C,CALL NAUTILUS INC $10 EXP 12/18/20,11/19/2020,1,$899.33,$360.65,$538.68,149.36%,--,--,$538.68,149.36%,No,,,,,,,,,
NLS 12/18/2020 15.00 C,CALL NAUTILUS INC $15 EXP 12/18/20,10/16/2020,1,$919.33,$830.65,$88.68,10.68%,--,--,$88.68,10.68%,No,,,,,,,,,
NXST 01/15/2021 105.00 C,CALL NEXSTAR MEDIA GROUP $105 EXP 01/15/21,11/19/2020,2,$1178.64,$1354.30,-$175.66,-12.97%,--,--,-$175.66,-12.97%,No,,,,,,,,,
NVDA 08/07/2020 442.50 C,CALL NVIDIA CORP $442.5 EXP 08/07/20,08/07/2020,1,$299.34,$800.65,-$501.31,-62.61%,--,--,-$501.31,-62.61%,No,,,,,,,,,
NVDA 12/18/2020 590.00 C,CALL NVIDIA CORP $590 EXP 12/18/20,11/23/2020,1,$449.34,$2800.65,-$2351.31,-83.96%,--,--,-$2351.31,-83.96%,No,,,,,,,,,
OVID 01/15/2021 7.50 C,CALL OVID THERAPEUTICS I $7.5 EXP 01/15/21,11/19/2020,1,$154.35,$165.65,-$11.30,-6.82%,--,--,-$11.30,-6.82%,No,,,,,,,,,
PTON 01/15/2021 110.00 C,CALL PELOTON INTERACTIVE $110 EXP 01/15/21,10/16/2020,1,$3099.28,$1550.65,$1548.63,99.87%,--,--,$1548.63,99.87%,No,,,,,,,,,
PLUG 09/04/2020 11.00 C,CALL PLUG POWER INC $11 EXP 09/04/20,09/02/2020,1,$214.35,$119.65,$94.70,79.15%,--,--,$94.70,79.15%,No,,,,,,,,,
PLUG 12/18/2020 12.00 C,CALL PLUG POWER INC $12 EXP 12/18/20,10/16/2020,1,$489.34,$260.67,$228.67,87.72%,--,--,$228.67,87.72%,No,,,,,,,,,
PLUG 12/18/2020 12.00 C,CALL PLUG POWER INC $12 EXP 12/18/20,11/19/2020,1,$1239.32,$260.67,$978.65,375.44%,--,--,$978.65,375.44%,No,,,,,,,,,
PFPT 02/19/2021 135.00 C,CALL PROOFPOINT INC $135 EXP 02/19/21,11/20/2020,1,$21.35,$709.65,-$688.30,-96.99%,--,--,-$688.30,-96.99%,No,,,,,,,,,
REGN 08/07/2020 630.00 C,CALL REGENERON PHARMS IN $630 EXP 08/07/20,08/07/2020,1,$299.34,$130.65,$168.69,56.35%,--,--,$168.69,56.35%,No,,08/06/2020,,,,,,,
REGN 08/07/2020 625.00 C,CALL REGENERON PHARMS IN $625 EXP 08/07/20,08/07/2020,1,$299.34,$1900.65,-$1601.31,-84.25%,--,--,-$1601.31,-84.25%,No,,,,,,,,,
SAGE 12/18/2020 55.00 C,CALL SAGE THERAPEUTICS $55 EXP 12/18/20,11/27/2020,1,$1919.31,$744.65,$1174.66,157.75%,--,--,$1174.66,157.75%,No,,,,,,,,,
SAIL 12/18/2020 45.00 C,CALL SAILPOINT TECHNOLOG $45 EXP 12/18/20,11/23/2020,1,$139.35,$300.65,-$161.30,-53.65%,--,--,-$161.30,-53.65%,No,,,,,,,,,
CRM 09/04/2020 280.00 C,CALL SALESFORCE COM $280 EXP 09/04/20,08/28/2020,1,$364.34,$950.65,-$586.31,-61.67%,--,--,-$586.31,-61.67%,No,,,,,,,,,
SE 12/18/2020 160.00 C,CALL SEA LTD $160 EXP 12/18/20,10/16/2020,1,$2049.30,$1720.65,$328.65,19.10%,--,--,$328.65,19.10%,No,,,,,,,,,
SE 12/18/2020 175.00 C,CALL SEA LTD $175 EXP 12/18/20,11/24/2020,1,$949.33,$1360.65,-$411.32,-30.23%,--,--,-$411.32,-30.23%,No,,,,,,,,,
WORK 12/18/2020 35.00 C,CALL SLACK TECHNOLOGIES $35 EXP 12/18/20,09/03/2020,1,$429.34,$579.65,-$150.31,-25.93%,--,--,-$150.31,-25.93%,No,,,,,,,,,
SEDG 12/18/2020 260.00 C,CALL SOLAREDGE TECH $260 EXP 12/18/20,11/27/2020,1,$3799.27,$1680.65,$2118.62,126.06%,--,--,$2118.62,126.06%,No,,,,,,,,,
RUN 08/21/2020 46.00 C,CALL SUNRUN INC. $46 EXP 08/21/20,08/07/2020,1,$329.34,$390.65,-$61.31,-15.69%,--,--,-$61.31,-15.69%,No,,,,,,,,,
TTWO 09/18/2020 175.00 C,CALL TAKE TWO INTERACTV $175 EXP 09/18/20,08/24/2020,1,$436.34,$790.65,-$354.31,-44.81%,--,--,-$354.31,-44.81%,No,,,,,,,,,
TDOC 07/31/2020 210.00 C,CALL TELADOC INC $210 EXP 07/31/20,07/30/2020,1,$2609.29,$919.65,$1689.64,183.73%,--,--,$1689.64,183.73%,No,,,,,,,,,
TSLA 12/18/2020 550.00 C,CALL TESLA INC $550 EXP 12/18/20,11/27/2020,1,$6909.20,$6560.65,$348.55,5.31%,--,--,$348.55,5.31%,No,,,,,,,,,
HEAR 10/16/2020 15.00 C,CALL TURTLE BEACH CORP $15 EXP 10/16/20,08/07/2020,1,$399.34,$590.65,-$191.31,-32.39%,--,--,-$191.31,-32.39%,No,,,,,,,,,
HEAR 01/15/2021 20.00 C,CALL TURTLE BEACH CORP $20 EXP 01/15/21,10/22/2020,1,$209.35,$447.65,-$238.30,-53.23%,--,--,-$238.30,-53.23%,No,,,,,,,,,
TWLO 08/07/2020 270.00 C,CALL TWILIO INC $270 EXP 08/07/20,08/04/2020,1,$1909.31,$1500.65,$408.66,27.23%,--,--,$408.66,27.23%,No,,,,,,,,,
VSLR 10/16/2020 20.00 C,CALL VIVINT SOLAR INC $20 EXP 10/16/20,08/24/2020,1,$839.33,$690.65,$148.68,21.53%,--,--,$148.68,21.53%,No,,,,,,,,,
W 08/07/2020 270.00 C,CALL WAYFAIR INC $270 EXP 08/07/20,08/04/2020,1,$2429.30,$1690.65,$738.65,43.69%,--,--,$738.65,43.69%,No,,,,,,,,,
WPM 09/25/2020 49.00 C,CALL WHEATON PRECIOUS ME $49 EXP 09/25/20,08/24/2020,1,$379.34,$770.65,-$391.31,-50.78%,--,--,-$391.31,-50.78%,No,,,,,,,,,
