Symbol,Name,Closed Date,Quantity,Proceeds,CostBasis,Total Gain/Loss ($),Total Gain/Loss (%),Long Term Gain/Loss ($),Long Term Gain/Loss (%),Short Term Gain/Loss ($),Short Term Gain/Loss (%),Wash Sale?,Disallowed Loss,Transaction Closed Date,Transaction Cost Basis,Total Transaction Gain/Loss ($),Total Transaction Gain/Loss (%),LT Transaction Gain/Loss ($),LT Transaction Gain/Loss (%),ST Transaction Gain/Loss ($),ST Transaction Gain/Loss (%)
VNET,21VIANET GROUP INC F SPONSORED ADR 1 ADR REPS 6 ORD SHS,07/16/2020,37,$883.71,$1010.84,-$127.13,-12.58%,--,--,-$127.13,-12.58%,No,,,,,,,,,
TWOU,2U INC,07/09/2020,5,$214.95,$200.70,$14.25,7.10%,--,--,$14.25,7.10%,No,,,,,,,,,
TWOU,2U INC,07/28/2020,25,$1090.73,$1003.50,$87.23,8.69%,--,--,$87.23,8.69%,No,,,,,,,,,
EGHT,8X8 INC,08/17/2020,75,$1190.98,$1235.80,-$44.82,-3.63%,--,--,-$44.82,-3.63%,No,,,,,,,,,
EGHT,8X8 INC,12/17/2020,50,$1558.17,$1544.50,$13.67,0.89%,--,--,$13.67,0.89%,No,,,,,,,,,
ABMD,ABIOMED INC,07/09/2020,5,$1310.19,$1337.85,-$27.66,-2.07%,--,--,-$27.66,-2.07%,No,,,,,,,,,
ACRGF,ACREAGE HLDGS INC F,08/06/2020,115,$362.24,$355.35,$6.89,1.94%,--,--,$6.89,1.94%,No,,,,,,,,,
ACRGF,ACREAGE HLDGS INC F,08/17/2020,385,$1188.85,$1189.65,-$0.80,-0.07%,--,--,-$0.80,-0.07%,No,,,,,,,,,
BABA,ALIBABA GROUP HOLDING F SPONSORED ADR 1 ADR REPS 8 ORD SHS,07/29/2020,5,$1250.67,$1190.90,$59.77,5.02%,--,--,$59.77,5.02%,No,,,,,,,,,
ALT,ALTIMMUNE INC,07/30/2020,66,$1423.59,$923.95,$499.64,54.08%,--,--,$499.64,54.08%,No,,,,,,,,,
AMZN,AMAZON.COM INC,07/24/2020,1,$2929.94,$2852.19,$77.75,2.73%,--,--,$77.75,2.73%,No,,,,,,,,,
AMZN,AMAZON.COM INC,07/31/2020,1,$3199.93,$2852.19,$347.74,12.19%,--,--,$347.74,12.19%,No,,,,,,,,,
AXP,AMERICAN EXPRESS CO,07/02/2020,15,$1422.00,$1439.52,-$17.52,-1.22%,--,--,-$17.52,-1.22%,No,,,,,,,,,
PLAN,ANAPLAN INC,07/09/2020,21,$1064.73,$1047.41,$17.32,1.65%,--,--,$17.32,1.65%,No,,,,,,,,,
APPN,APPIAN CORP 00500 CLASS A,12/15/2020,10,$1416.58,$1429.70,-$13.12,-0.92%,--,--,-$13.12,-0.92%,No,,,,,,,,,
AAPL,APPLE INC,08/31/2020,100,$12731.57,$10519.16,$2212.41,21.03%,--,--,$2212.41,21.03%,No,,,,,,,,,
AAPL,APPLE INC,08/31/2020,47,$6089.19,$4944.01,$1145.18,23.16%,--,--,$1145.18,23.16%,No,,,,,,,,,
AAPL,APPLE INC,08/31/2020,2,$259.11,$210.38,$48.73,23.16%,--,--,$48.73,23.16%,No,,,,,,,,,
AAPL,APPLE INC,08/31/2020,1,$129.56,$105.19,$24.37,23.17%,--,--,$24.37,23.17%,No,,,,,,,,,
AAPL,APPLE INC,09/02/2020,50,$6878.85,$5259.58,$1619.27,30.79%,--,--,$1619.27,30.79%,No,,,,,,,,,
AAPL,APPLE INC,09/23/2020,25,$2733.44,$2629.79,$103.65,3.94%,--,--,$103.65,3.94%,No,,,,,,,,,
AAPL,APPLE INC,10/08/2020,25,$2906.69,$2629.79,$276.90,10.53%,--,--,$276.90,10.53%,No,,,,,,,,,
AAPL,APPLE INC,10/22/2020,25,$2927.82,$2629.79,$298.03,11.33%,--,--,$298.03,11.33%,No,,,,,,,,,
AAPL,APPLE INC,11/20/2020,25,$2967.95,$2629.79,$338.16,12.86%,--,--,$338.16,12.86%,No,,,,,,,,,
AAPL,APPLE INC,11/24/2020,50,$5687.37,$5259.59,$427.78,8.13%,--,--,$427.78,8.13%,No,,,,,,,,,
AAPL,APPLE INC,11/25/2020,25,$2899.97,$2629.79,$270.18,10.27%,--,--,$270.18,10.27%,No,,,,,,,,,
ARKF,ARK FINTECH INNOVATION ETF,12/22/2020,30,$1536.87,$1509.68,$27.19,1.80%,--,--,$27.19,1.80%,No,,,,,,,,,
ASML,ASML HLDGS NV F SPONSORED ADR 1 ADR REPS 1 ORD SHS,08/06/2020,4,$1472.17,$1484.00,-$11.83,-0.80%,--,--,-$11.83,-0.80%,No,,,,,,,,,
AAWW,ATLAS AIR WORLDWIDE,07/09/2020,23,$1067.53,$1032.59,$34.94,3.38%,--,--,$34.94,3.38%,No,,,,,,,,,
BLDP,BALLARD POWER SYS F,07/31/2020,40,$567.79,$785.27,-$217.48,-27.69%,--,--,-$217.48,-27.69%,No,,,,,,,,,
BZUN,BAOZUN INC F SPONSORED ADR 1 ADR REPS 3 ORD SHS,08/06/2020,18,$775.96,$778.00,-$2.04,-0.26%,--,--,-$2.04,-0.26%,No,,,,,,,,,
GOLD,BARRICK GOLD CORP F,08/07/2020,50,$1449.97,$1406.00,$43.97,3.13%,--,--,$43.97,3.13%,No,,,,,,,,,
BLCM,BELLICUM PHARMACEUTICALS,07/22/2020,127,$944.56,$1009.65,-$65.09,-6.45%,--,--,-$65.09,-6.45%,No,,,,,,,,,
BLCM,BELLICUM PHARMACEUTICALS,12/03/2020,340,$1029.40,$1251.20,-$221.80,-17.73%,--,--,-$221.80,-17.73%,No,,,,,,,,,
BDSI,BIODELIVERY SCI INTL,08/17/2020,250,$1318.72,$1012.50,$306.22,30.24%,--,--,$306.22,30.24%,No,,,,,,,,,
BTGN,BITCOIN GENERATION INC,11/27/2020,1,$0.60,$0.80,-$0.20,-25.00%,--,--,-$0.20,-25.00%,No,,,,,,,,,
BTGN,BITCOIN GENERATION INC,11/30/2020,1000,$599.99,$943.85,-$343.86,-36.43%,--,--,-$343.86,-36.43%,No,,,,,,,,,
BTGN,BITCOIN GENERATION INC,11/30/2020,800,$479.99,$920.00,-$440.01,-47.83%,--,--,-$440.01,-47.83%,No,,,,,,,,,
BTGN,BITCOIN GENERATION INC,11/30/2020,139,$88.96,$159.85,-$70.89,-44.35%,--,--,-$70.89,-44.35%,No,,,,,,,,,
BTGN,BITCOIN GENERATION INC,11/30/2020,35,$21.00,$28.00,-$7.00,-25.00%,--,--,-$7.00,-25.00%,No,,,,,,,,,
BTGN,BITCOIN GENERATION INC,11/30/2020,25,$15.00,$20.00,-$5.00,-25.00%,--,--,-$5.00,-25.00%,No,,,,,,,,,
BTGN,BITCOIN GENERATION INC,12/15/2020,175,$87.50,$201.25,-$113.75,-56.52%,--,--,-$113.75,-56.52%,No,,,,,,,,,
BTGN,BITCOIN GENERATION INC,12/18/2020,1630,$977.98,$1587.85,-$609.87,-38.41%,--,--,-$609.87,-38.41%,No,,,,,,,,,
BTGN,BITCOIN GENERATION INC,12/18/2020,1000,$599.99,$720.00,-$120.01,-16.67%,--,--,-$120.01,-16.67%,No,,,,,,,,,
BTGN,BITCOIN GENERATION INC,12/18/2020,195,$117.00,$140.40,-$23.40,-16.67%,--,--,-$23.40,-16.67%,No,,,,,,,,,
BLNK,BLINK CHARGING CO,12/14/2020,30,$794.98,$849.66,-$45.57,-5.36%,--,--,-$45.57,-5.36%,Yes,$9.11,,,,,,,,
BLNK,BLINK CHARGING CO,12/14/2020,20,$529.99,$566.44,$0.00,0.00%,--,--,$0.00,0.00%,Yes,$36.45,,,,,,,,
