,Market Index,Symbol,As Of:,Last,Change,% Change,Go to:
0,Dow Jones Industrial Average,DJIA,12/3/20205:03 PM,29969.52,85.73,+0.29%,
1,Dow Jones Transportation Average,DJT,12/3/20205:03 PM,12586.82,40.28,+0.32%,
2,Dow Jones Utility Average Index,DJU,12/3/20205:03 PM,866.89,-7.77,-0.89%,
3,NASDAQ 100 Index (NASDAQ Calculation),NDX,12/3/20205:16 PM,12467.128999999999,10.72,+0.09%,
4,NASDAQ Composite Index,COMP,12/3/20205:16 PM,12377.1815,27.82,+0.23%,
5,NYSE Composite Index,NYA,12/3/20205:59 PM,14217.1847,28.94,+0.20%,
6,S&P 500 Index,SPX,12/3/20205:03 PM,3666.72,-2.29,-0.06%,
7,S&P 400 Mid Cap Index,MID,12/3/20205:03 PM,2203.48,11.61,+0.53%,
8,S&P 100 Index,OEX,12/3/20204:03 PM,1682.24,-2.78,-0.16%,
9,NASDAQ Computer Index,IXCO,12/3/20205:16 PM,8521.3807,-9.25,-0.11%,
10,PHLX Semiconductor Index,SOX,12/3/20205:16 PM,2716.1541,-0.2,-0.01%,
11,PHLX Gold/Silver Index,XAU,12/3/20205:16 PM,139.6015,-1.04,-0.74%,
12,NYSE Arca Oil Index,XOI,12/3/20205:59 PM,785.5105,8.83,+1.14%,
13,Russell 2000 Index,RUT,12/3/20204:30 PM,1848.7018,10.67,+0.58%,
