,Market Index
0,Dow Jones Industrial Average
1,Dow Jones Transportation Average
2,Dow Jones Utility Average Index
3,NASDAQ 100 Index (NASDAQ Calculation)
4,NASDAQ Composite Index
5,NYSE Composite Index
6,S&P 500 Index
7,S&P 400 Mid Cap Index
8,S&P 100 Index
9,NASDAQ Computer Index
10,PHLX Semiconductor Index
11,PHLX Gold/Silver Index
12,NYSE Arca Oil Index
13,Russell 2000 Index
