Date,Open,High,Low,Close,Volume,Adjusted
2016-01-04,200.490005,201.029999,198.589996,201.020004,222353500,195.941598
2016-01-05,201.399994,201.899994,200.050003,201.360001,110845800,196.273005
2016-01-06,198.339996,200.059998,197.600006,198.820007,152112600,193.79718
2016-01-07,195.330002,197.440002,193.589996,194.050003,213436100,189.147681
2016-01-08,195.190002,195.850006,191.580002,191.919998,209817200,187.071487
2016-01-11,193.009995,193.410004,189.820007,192.110001,187941300,187.256689
2016-01-12,193.820007,194.550003,191.139999,193.660004,172330500,188.767534
2016-01-13,194.449997,194.860001,188.380005,188.830002,221168900,184.059554
2016-01-14,189.550003,193.259995,187.660004,191.929993,240795600,187.081229
2016-01-15,186.770004,188.759995,185.520004,187.809998,314240200,183.065318
2016-01-19,189.960007,190.110001,186.199997,188.059998,195244400,183.309002
2016-01-20,185.029999,187.5,181.020004,185.649994,286547800,180.959883
2016-01-21,186.210007,188.869995,184.639999,186.690002,195772900,181.973617
2016-01-22,189.779999,190.759995,188.880005,190.520004,168319600,185.706861
2016-01-25,189.919998,190.149994,187.410004,187.639999,130371700,182.899614
2016-01-26,188.419998,190.529999,188.020004,190.199997,141036800,185.394938
2016-01-27,189.580002,191.559998,187.059998,188.130005,185681700,183.377241
2016-01-28,189.960007,190.199997,187.160004,189.110001,143798800,184.332479
2016-01-29,190.020004,193.880005,189.880005,193.720001,210529300,188.826016
2016-02-01,192.529999,194.580002,191.839996,193.649994,136061600,188.757777
2016-02-02,191.960007,191.970001,189.539993,190.160004,182564900,185.355955
2016-02-03,191.410004,191.779999,187.100006,191.300003,205054900,186.467155
2016-02-04,190.710007,192.75,189.960007,191.600006,139531800,186.759579
2016-02-05,190.990005,191.669998,187.199997,187.949997,180788300,183.20178
2016-02-08,185.770004,186.119995,182.800003,185.419998,191526700,180.735697
2016-02-09,183.360001,186.940002,183.199997,185.429993,184513100,180.745439
2016-02-10,186.410004,188.339996,185.119995,185.270004,148214100,180.589493
2016-02-11,182.339996,184.100006,181.089996,182.860001,219058900,178.240374
2016-02-12,184.960007,186.649994,183.960007,186.630005,127632400,181.915136
2016-02-16,188.770004,189.809998,187.630005,189.779999,120250700,184.985551
2016-02-17,191.160004,193.320007,191.009995,192.880005,136009500,188.007241
2016-02-18,193.199997,193.270004,191.720001,192.089996,102343000,187.23719
2016-02-19,191.169998,192.179993,190.449997,192,114793000,187.149467
2016-02-22,193.869995,194.949997,193.789993,194.779999,103640300,189.859235
2016-02-23,194,194.320007,192.179993,192.320007,111455300,187.46139
